Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,FC6,0.21273956,1.2950866,4.970542e-05,43.400597
2,FC4,0.20822676,1.3179485,6.18228e-05,46.479385
3,PO4,0.15461944,0.92526776,5.2493197e-05,30.060766
4,FT8,0.15276858,0.9074127,4.0685467e-05,29.358042
5,F9,0.1523077,0.928804,4.5784003e-05,31.667091
6,CPZ,0.14875841,0.8624176,4.1917836e-05,26.787624
7,P5,0.14616798,0.9310855,4.9468483e-05,32.12737
8,F7,0.14552487,0.8536296,4.310491e-05,25.603754
9,PZ,0.14522877,0.89100295,4.4632954e-05,29.288065
10,AF7,0.13857973,0.8593055,4.2729684e-05,29.82362
11,P8,0.13483787,0.7989765,3.888033e-05,25.242
12,O2,0.13378747,0.7854442,3.9930743e-05,24.42694
13,F1,0.1328327,0.77343035,3.705911e-05,24.37896
14,FC1,0.12886725,0.79331964,3.7072856e-05,26.651463
15,PO7,0.12563555,0.78470266,4.5848163e-05,26.392609
16,C3,0.1252658,0.7639644,3.672184e-05,24.75498
17,FC5,0.12259965,0.74649394,4.03764e-05,24.254135
18,F8,0.120443664,0.7039817,3.2279528e-05,23.276493
19,T10,0.119330734,0.73314524,3.8156675e-05,25.897583
20,FZ,0.11784868,0.68202966,3.6492478e-05,21.547102
21,C6,0.11355817,0.71148366,3.498472e-05,24.869886
22,CP6,0.11204447,0.6702301,2.767866e-05,19.925575
23,FC2,0.11086303,0.69809544,2.8252569e-05,23.152134
24,C5,0.11074823,0.6638176,3.222627e-05,20.77259
25,FC3,0.10942994,0.67568374,2.5901987e-05,21.469414
26,F4,0.10754464,0.65924543,3.232589e-05,21.251238
27,O1,0.10749529,0.6626258,3.41402e-05,20.82604
28,F3,0.10565278,0.5986641,3.0019191e-05,18.366117
29,C1,0.104500405,0.6513134,2.9130342e-05,22.879145
30,C4,0.10316554,0.62395656,3.1184813e-05,20.622837
31,F10,0.10271681,0.62431556,2.7470007e-05,22.131033
32,OZ,0.1025946,0.64811134,3.3934026e-05,21.242392
33,P2,0.10175147,0.62101376,3.1541425e-05,21.102451
34,CP3,0.10167089,0.57191646,3.1218126e-05,19.456621
35,AF3,0.09949832,0.573329,2.591994e-05,18.78759
36,CP1,0.09824048,0.6153455,3.147314e-05,21.117788
37,FP1,0.097087,0.6017707,2.7880797e-05,20.573837
38,P7,0.09540807,0.58374196,3.6072033e-05,19.846975
39,AFZ,0.09519787,0.61474764,2.868798e-05,21.367338
40,F5,0.09505412,0.5511311,2.6997599e-05,18.966228
41,F2,0.09173212,0.5630724,3.0380077e-05,17.718933
42,FT7,0.090678774,0.55337334,2.4567558e-05,17.110336
43,PO8,0.09016704,0.5351108,2.5453897e-05,17.514406
44,AF4,0.08696973,0.5228932,3.1003336e-05,17.188929
45,P6,0.086230054,0.5286214,3.0566247e-05,17.749092
46,F6,0.08596023,0.51714766,2.3816838e-05,17.402493
47,P1,0.085153036,0.5377674,2.9260376e-05,18.49483
48,C2,0.083126925,0.5125473,3.0227791e-05,18.72818
49,T8,0.08220991,0.51440567,2.590628e-05,18.354795
50,CP5,0.07825788,0.484952,2.4522747e-05,16.511396
51,CP4,0.078195274,0.4647689,2.0893971e-05,15.99673
52,T9,0.0773826,0.51335627,2.8070988e-05,18.734999
53,P4,0.073610574,0.45540574,2.9839486e-05,14.941389
54,PO3,0.07165493,0.4436974,2.7150749e-05,15.701052
55,P3,0.069274925,0.40846348,2.1941649e-05,13.329372
56,FP2,0.06907302,0.4179414,2.4263294e-05,13.7888975
57,POZ,0.068856455,0.41346356,2.2268441e-05,13.95571
58,CP2,0.06742006,0.41487604,1.9549636e-05,13.913127
59,T7,0.06241208,0.41119426,2.2623699e-05,15.6828785
60,AF8,0.060674705,0.3988201,2.0661815e-05,15.110524
