Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,FC6,0.26129076,1.4975421,2.2411838e-05,53.665283
2,FC4,0.25425076,1.5846003,2.4535066e-05,54.94605
3,FT8,0.19328386,1.1832119,1.6638473e-05,41.382874
4,F9,0.18843052,1.1298275,1.8917972e-05,35.77462
5,PO4,0.18771839,1.1027858,1.9823197e-05,41.77622
6,CPZ,0.18714434,1.0869548,1.896965e-05,38.550884
7,PZ,0.18172722,1.1206517,1.785161e-05,38.221153
8,F7,0.17857131,1.0382152,1.6278691e-05,33.9057
9,P5,0.17531222,1.0319088,1.9186577e-05,35.568584
10,AF7,0.16633695,1.0027357,1.6341528e-05,34.669476
11,O2,0.16633531,0.9596487,1.4543137e-05,30.805586
12,P8,0.16572793,0.9585122,1.6415943e-05,29.7577
13,F1,0.16544761,0.9435351,1.48988e-05,30.969093
14,FC1,0.16279145,1.01122,1.5019403e-05,35.320454
15,C3,0.15546411,0.9083577,1.4760075e-05,29.363024
16,FC5,0.15251823,0.93344927,1.4361673e-05,33.328438
17,PO7,0.15017557,0.9088919,1.7055343e-05,29.015749
18,F8,0.1481627,0.8322985,1.45637405e-05,25.8497
19,T10,0.14758645,0.9066161,1.4840219e-05,34.037987
20,FZ,0.1440402,0.8093751,1.4095809e-05,24.972797
21,CP6,0.13685821,0.7890296,1.3754855e-05,25.847876
22,C6,0.13653998,0.80120623,1.3684683e-05,25.096615
23,C5,0.13567416,0.77576834,1.4350407e-05,25.531519
24,F4,0.13498718,0.8172449,1.2131733e-05,25.939875
25,FC2,0.13394839,0.77505255,1.3252826e-05,28.20638
26,FC3,0.13372087,0.7765299,1.2487913e-05,27.075947
27,O1,0.12956388,0.738785,1.5470794e-05,24.495523
28,F3,0.12930721,0.7237892,1.2425733e-05,24.855822
29,AF3,0.12705319,0.7333142,1.1041896e-05,24.147392
30,F10,0.1268926,0.73473054,1.1843918e-05,24.000101
31,C1,0.12527995,0.7442933,1.40118245e-05,27.580168
32,CP3,0.1252487,0.7061859,1.12832695e-05,24.030561
33,C4,0.123175845,0.7074887,1.2151577e-05,21.617466
34,OZ,0.1206798,0.71717846,1.1466051e-05,22.43607
35,P2,0.12036943,0.6939529,1.25211845e-05,20.967773
36,CP1,0.11727484,0.6881546,1.1266214e-05,20.836884
37,F5,0.11696299,0.687873,1.0336863e-05,23.211588
38,AFZ,0.11588137,0.7414919,1.2281565e-05,26.831085
39,P7,0.115735136,0.70618254,1.2213942e-05,25.014326
40,FP1,0.11489616,0.6739436,1.2181367e-05,20.100586
41,PO8,0.11172037,0.6363439,1.12137695e-05,20.478447
42,FT7,0.109915264,0.66071916,1.0891797e-05,22.24463
43,F2,0.107030585,0.6035582,1.2061053e-05,21.180737
44,F6,0.103529476,0.58404225,9.541246e-06,20.809896
45,AF4,0.10280596,0.59082884,1.1262104e-05,19.090614
46,P6,0.09989424,0.555747,1.2017558e-05,19.300217
47,T8,0.09827665,0.58789444,1.0879878e-05,19.600964
48,P1,0.09814064,0.56717825,1.2140357e-05,19.668407
49,C2,0.09664007,0.5566391,1.0434391e-05,21.021181
50,CP5,0.095966786,0.58520865,9.311525e-06,18.957155
51,CP4,0.09299707,0.5198273,9.095487e-06,19.076036
52,P4,0.08657444,0.50013644,1.1558391e-05,17.665136
53,T9,0.08592659,0.5137937,9.617535e-06,19.733814
54,FP2,0.08402461,0.48503074,9.580207e-06,15.062627
55,PO3,0.08367155,0.47344828,9.827638e-06,17.214607
56,P3,0.08248679,0.45054194,9.700726e-06,14.535244
57,CP2,0.08188513,0.48240086,7.7006625e-06,14.775056
58,POZ,0.08112929,0.46584976,8.755166e-06,16.522865
59,T7,0.07032657,0.41570845,8.81241e-06,15.760784
60,AF8,0.07002969,0.42190105,7.838992e-06,15.294946
