Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,FC4,0.1168676,0.65967804,3.2626926e-05,25.568989
2,FC6,0.100280985,0.54694676,3.0252779e-05,21.49228
3,PZ,0.094916984,0.5172112,2.6532534e-05,21.334711
4,FT8,0.092097715,0.49605975,1.8690234e-05,19.44438
5,FC1,0.08858352,0.48853025,1.6655416e-05,18.102385
6,F7,0.08334501,0.46023226,2.2154885e-05,19.067623
7,PO4,0.08246496,0.45073843,2.2978487e-05,19.248
8,AF7,0.07982915,0.43790323,1.8015613e-05,18.693554
9,C3,0.07725113,0.41832358,1.9677795e-05,18.611437
10,P8,0.07613394,0.42275825,2.3203911e-05,16.275198
11,F9,0.07588078,0.42610866,1.800778e-05,17.081516
12,CPZ,0.07504135,0.4096137,2.1937662e-05,17.567131
13,PO7,0.07262394,0.39406797,1.799787e-05,17.340588
14,F3,0.0699952,0.38224494,1.5314768e-05,15.4367695
15,C5,0.06986425,0.38020205,1.1774992e-05,16.590286
16,P5,0.0696863,0.37123933,2.6365571e-05,15.782363
17,FC5,0.068862915,0.381073,1.4241496e-05,15.070782
18,F5,0.06481397,0.34361303,1.5754702e-05,13.767412
19,T10,0.06291825,0.3416441,2.1220254e-05,13.595579
20,F4,0.06115235,0.33431274,1.635297e-05,15.076675
21,F1,0.060694303,0.32796037,1.2680203e-05,14.180603
22,OZ,0.060298465,0.33054346,1.6034879e-05,14.669045
23,F8,0.06026303,0.33255586,1.5412741e-05,13.578985
24,FC2,0.05961935,0.3210955,1.4695599e-05,13.634253
25,FZ,0.058533203,0.3094947,2.2751214e-05,12.65843
26,CP3,0.057426754,0.3158529,2.3245142e-05,12.296437
27,P3,0.05600022,0.2959006,1.5941909e-05,12.357939
28,FP2,0.05535867,0.29293242,2.3334194e-05,13.120218
29,O2,0.05505652,0.2928926,1.7530489e-05,12.84118
30,O1,0.054596923,0.29218847,1.2745113e-05,11.463642
31,CP6,0.054544404,0.2874435,2.6722815e-05,10.949247
32,C1,0.05387084,0.2910907,1.723676e-05,11.293799
33,P4,0.053359427,0.28076115,1.9319616e-05,12.382081
34,PO8,0.052609406,0.2802919,1.2398953e-05,12.019072
35,P2,0.052257773,0.28113174,1.7786548e-05,10.623552
36,F6,0.05223978,0.27881828,2.6666796e-05,11.085485
37,F10,0.0520941,0.27880755,1.46111515e-05,10.8864155
38,FC3,0.051806066,0.28017813,1.3809099e-05,11.124055
39,FT7,0.051525015,0.27195638,2.271573e-05,11.528235
40,P7,0.050584346,0.2672339,1.5223783e-05,10.031656
41,C6,0.048517033,0.25449765,1.8456922e-05,9.926327
42,CP5,0.0483015,0.25863567,1.8314455e-05,10.1269045
43,P6,0.047850747,0.24344605,2.126259e-05,9.942373
44,AF4,0.047491863,0.25522712,1.0615258e-05,9.495239
45,C4,0.047183502,0.24819864,2.1845537e-05,9.6401415
46,T8,0.046393003,0.24344948,9.3187355e-06,9.9469185
47,AFZ,0.04601085,0.2524147,9.224435e-06,9.6816845
48,P1,0.045934793,0.24121973,1.4315516e-05,9.275945
49,F2,0.044474028,0.22910777,1.3918976e-05,8.999862
50,CP1,0.044052955,0.23403335,9.781836e-06,9.629013
51,T9,0.043668684,0.23023567,1.14550185e-05,7.9957023
52,FP1,0.04326287,0.22728707,1.4015317e-05,9.202486
53,C2,0.04311218,0.2306734,1.9784231e-05,9.006185
54,CP2,0.041610956,0.21706672,1.1132108e-05,8.345885
55,PO3,0.04130503,0.22444399,2.2209191e-05,8.443359
56,AF3,0.040318683,0.21613085,1.9236497e-05,8.721392
57,T7,0.038904995,0.21237272,8.877658e-06,8.857178
58,CP4,0.038474135,0.20160408,1.8370401e-05,6.9904013
59,POZ,0.03806207,0.20293748,1.445222e-05,8.128649
60,AF8,0.037956886,0.20384093,1.2856761e-05,7.412467
