Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,FC6,0.043902554,0.46678564,0.0,28.311613
2,FC4,0.043228805,0.35895625,0.0,20.31761
3,PO4,0.04317626,0.4008738,0.0,24.42766
4,FC1,0.036885146,0.35905027,0.0,20.708809
5,F9,0.036179017,0.36826,0.0,21.956594
6,CPZ,0.0352833,0.3081317,0.0,18.248962
7,POZ,0.034670435,0.3647653,0.0,21.826624
8,FT8,0.03436707,0.3065962,0.0,17.758087
9,PO7,0.033971526,0.21247871,0.0,12.029231
10,T10,0.033858176,0.24085037,0.0,14.858989
11,AF3,0.033790827,0.3913491,0.0,24.291159
12,P5,0.033568434,0.31051725,0.0,18.656675
13,F1,0.03252966,0.30728102,0.0,17.749067
14,P8,0.030378543,0.22833963,0.0,14.230342
15,C5,0.030228531,0.3213045,0.0,19.06391
16,P2,0.029303081,0.2813212,0.0,17.694792
17,PZ,0.029182635,0.18291974,0.0,10.445898
18,F4,0.028403593,0.24251562,0.0,14.059472
19,FP1,0.027539797,0.28139627,0.0,16.70502
20,F7,0.027282486,0.21098769,0.0,12.007483
21,FC5,0.026252909,0.22100675,0.0,12.929219
22,C6,0.025475027,0.21076544,0.0,12.199512
23,FZ,0.025293907,0.21624443,0.0,12.981506
24,AF7,0.025283406,0.20654234,0.0,12.135777
25,CP3,0.02485913,0.20290077,0.0,11.859033
26,F8,0.024310432,0.23831086,0.0,13.825074
27,O2,0.023682997,0.19717653,0.0,12.684858
28,FC3,0.022841914,0.18224639,0.0,10.382636
29,CP1,0.02241148,0.1951588,0.0,11.861969
30,P6,0.02197628,0.1817032,0.0,11.604199
31,AFZ,0.021793341,0.20556487,0.0,11.725008
32,FC2,0.021707265,0.18112569,0.0,10.161164
33,F2,0.021691365,0.19880623,0.0,12.035663
34,P4,0.021431988,0.18804774,0.0,10.994926
35,AF4,0.021045966,0.15958045,0.0,9.411623
36,CP6,0.020993238,0.12560211,0.0,6.124006
37,O1,0.020655544,0.20777361,0.0,12.3825445
38,C3,0.019808065,0.15747121,0.0,9.29174
39,CP5,0.019560546,0.20119892,0.0,12.086675
40,T9,0.019183505,0.16507034,0.0,9.214962
41,T8,0.018248523,0.20083086,0.0,11.955022
42,AF8,0.017892104,0.18759714,0.0,11.205429
43,T7,0.017597158,0.13896926,0.0,8.127169
44,C4,0.017484412,0.13524222,0.0,7.863129
45,F6,0.017397102,0.15574427,0.0,9.227894
46,F5,0.017153028,0.1547538,0.0,9.13299
47,CP4,0.016602393,0.116305836,0.0,6.6958594
48,PO3,0.016488511,0.11849011,0.0,6.617194
49,F3,0.016424216,0.14561722,0.0,8.367159
50,OZ,0.016330875,0.11716481,0.0,6.5240526
51,FP2,0.016052436,0.110176325,0.0,5.665068
52,F10,0.015820881,0.14501901,0.0,8.479285
53,P3,0.015785279,0.1463707,0.0,8.525874
54,P1,0.015693713,0.096052706,0.0,4.9748564
55,FT7,0.015636833,0.09359353,0.0,4.766704
56,CP2,0.015614345,0.12666453,0.0,7.2406297
57,PO8,0.015462532,0.09692587,0.0,5.14854
58,C1,0.0149907665,0.105742306,0.0,5.9358335
59,P7,0.014529654,0.11297296,0.0,7.0371594
60,C2,0.011056633,0.06680079,0.0,3.5981765
