Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,FC4,0.025456453,0.1785298,0.0,7.8628697
2,PO4,0.022353033,0.16214226,0.0,6.9344525
3,FC6,0.021217886,0.15264224,0.0,6.888406
4,CPZ,0.018635299,0.12377584,0.0,5.465091
5,F9,0.01850086,0.129065,0.0,5.3891196
6,F1,0.018305423,0.12164243,0.0,5.3464847
7,FT8,0.017328344,0.114830576,0.0,4.9685116
8,P5,0.017083345,0.12604381,0.0,5.345732
9,FC1,0.01706484,0.12077153,0.0,5.1933026
10,P8,0.016758816,0.1099696,0.0,4.454668
11,PO7,0.016484391,0.10729361,0.0,4.2982974
12,PZ,0.015922947,0.11033804,0.0,4.6254725
13,F4,0.015810613,0.1018626,0.0,4.623659
14,FC5,0.0155961625,0.109255366,0.0,4.7026076
15,POZ,0.015114281,0.10851419,0.0,4.679017
16,T10,0.0145719135,0.10303365,0.0,4.6665606
17,FZ,0.014538874,0.097233504,0.0,4.2039976
18,AF3,0.013904329,0.103487894,0.0,4.540885
19,C6,0.013648482,0.09816828,0.0,4.1918635
20,C5,0.013467866,0.09334513,0.0,3.818193
21,F8,0.01339014,0.089837074,0.0,3.912041
22,P2,0.013343983,0.08240086,0.0,3.5166595
23,O2,0.0132874185,0.09019138,0.0,3.9487033
24,F7,0.0131757,0.09259114,0.0,4.0232816
25,FC3,0.013118319,0.089909315,0.0,3.835977
26,FP1,0.012869822,0.08969951,0.0,3.9254193
27,C3,0.012447296,0.08529764,0.0,3.4754453
28,AF7,0.011349374,0.079325475,0.0,3.3563623
29,P6,0.0112588545,0.074035026,0.0,3.0946813
30,CP3,0.011248499,0.07419394,0.0,3.0477808
31,PO3,0.011169614,0.07318809,0.0,2.8890467
32,AF4,0.011169329,0.07503271,0.0,3.169492
33,F2,0.011010496,0.07806502,0.0,3.3472161
34,AFZ,0.010802263,0.080447674,0.0,3.5040867
35,CP1,0.010772722,0.07486428,0.0,3.1992786
36,FC2,0.010669539,0.075429015,0.0,3.4446669
37,C4,0.010559068,0.07584811,0.0,3.3344383
38,PO8,0.010357097,0.072508864,0.0,3.1092916
39,P1,0.010267589,0.06742294,0.0,2.9781497
40,FT7,0.010184109,0.06770531,0.0,2.796325
41,CP6,0.00952844,0.06850814,0.0,2.9923928
42,T7,0.009351621,0.06285588,0.0,2.582707
43,C1,0.00905543,0.06182764,0.0,2.7004387
44,CP5,0.009006436,0.067580044,0.0,2.9405408
45,P3,0.009000754,0.067069896,0.0,2.9040015
46,CP4,0.008988007,0.060835227,0.0,2.6829042
47,T8,0.00896654,0.058774292,0.0,2.8097055
48,P4,0.008696416,0.059824526,0.0,2.4511535
49,F5,0.008692989,0.06013988,0.0,2.5636225
50,AF8,0.008400676,0.059781276,0.0,2.5487716
51,T9,0.008394641,0.057910353,0.0,2.4679751
52,OZ,0.008045674,0.05442495,0.0,2.2322588
53,P7,0.007989162,0.054792333,0.0,2.4870288
54,FP2,0.007950851,0.056572437,0.0,2.272516
55,F6,0.007936044,0.053565994,0.0,2.252728
56,F3,0.007820871,0.053188324,0.0,2.1755805
57,O1,0.007684486,0.053246617,0.0,2.4226718
58,CP2,0.0076567354,0.049558315,0.0,2.1924624
59,F10,0.0073165037,0.04977691,0.0,2.0962884
60,C2,0.0059685186,0.04067798,0.0,1.6997522
