Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,FC4,0.029128052,0.21746364,0.0,12.372563
2,PO4,0.025379404,0.19303082,0.0,10.238369
3,FC6,0.024588374,0.21473171,0.0,12.010076
4,F1,0.022279885,0.19655374,0.0,12.336465
5,CPZ,0.021772578,0.17697793,0.0,10.81976
6,F9,0.021000223,0.16026388,0.0,8.202597
7,FC1,0.020472948,0.19396769,0.0,11.760748
8,FT8,0.020007705,0.14805315,0.0,7.980267
9,P5,0.019315619,0.15218844,0.0,7.6878915
10,F4,0.018802898,0.1468247,0.0,8.453356
11,P8,0.018610753,0.12196733,0.0,6.756391
12,PO7,0.018591825,0.1266845,0.0,7.361295
13,FC5,0.018048145,0.13712874,0.0,8.067009
14,PZ,0.017303655,0.10473157,0.0,4.732163
15,POZ,0.017229522,0.13649015,0.0,7.0302954
16,FZ,0.016758729,0.11985798,0.0,6.564349
17,P2,0.01648808,0.1572598,0.0,10.833066
18,C5,0.015955571,0.13833715,0.0,8.058302
19,O2,0.015944248,0.13592942,0.0,9.740638
20,T10,0.015892407,0.10711272,0.0,5.929956
21,F8,0.015702607,0.12376335,0.0,7.272867
22,F7,0.015370736,0.13231808,0.0,8.531856
23,AF3,0.015295435,0.11050956,0.0,5.0146294
24,C6,0.014907408,0.09765288,0.0,4.597548
25,FP1,0.014864353,0.11638962,0.0,6.512367
26,FC3,0.014093068,0.08268892,0.0,3.9842746
27,C3,0.014072197,0.098053426,0.0,5.805279
28,CP3,0.0132014565,0.10509349,0.0,6.801578
29,PO3,0.012997806,0.10397557,0.0,6.711079
30,P6,0.012606179,0.086991265,0.0,5.1518006
31,FC2,0.012480544,0.11304779,0.0,7.107383
32,AF7,0.0124569535,0.082402,0.0,3.709328
33,F2,0.01245163,0.09173239,0.0,4.609271
34,AF4,0.012278796,0.07495843,0.0,3.3130724
35,AFZ,0.0121371765,0.09338608,0.0,4.5455256
36,CP1,0.01199248,0.082614645,0.0,4.6983566
37,C4,0.0118755875,0.08663918,0.0,5.0931244
38,PO8,0.011682392,0.08194229,0.0,3.9399688
39,FT7,0.011518252,0.08065085,0.0,4.1646256
40,P1,0.011350888,0.07184646,0.0,3.175608
41,T8,0.011239803,0.11337095,0.0,8.063843
42,CP6,0.010417441,0.069013774,0.0,3.3331103
43,T7,0.010349935,0.069930434,0.0,3.5005724
44,CP4,0.010221878,0.076881774,0.0,4.265781
45,F5,0.009979175,0.07454334,0.0,4.286081
46,CP5,0.009953158,0.077722706,0.0,3.728275
47,C1,0.009942628,0.06309445,0.0,2.903327
48,P4,0.009627465,0.066311225,0.0,3.1981847
49,P3,0.009603667,0.06217146,0.0,3.2523668
50,T9,0.009428438,0.065278694,0.0,3.518844
51,F6,0.0093915425,0.0809505,0.0,5.0482764
52,AF8,0.009339918,0.06932914,0.0,3.3368554
53,CP2,0.009322337,0.085034825,0.0,5.9159613
54,OZ,0.009181202,0.071342245,0.0,4.525478
55,P7,0.008974646,0.06670505,0.0,3.7570677
56,O1,0.008834888,0.06833508,0.0,4.37223
57,FP2,0.008612817,0.054730617,0.0,2.4414747
58,F3,0.008538309,0.054040946,0.0,2.77299
59,F10,0.008347497,0.06558861,0.0,3.7818785
60,C2,0.006479672,0.04163562,0.0,2.171461
