Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,FZ,0.45819166,0.5446333,0.0001802535,9.198337
2,PO7,0.42643946,0.34850022,0.00038895465,6.1360435
3,PO4,0.4178875,0.4809702,0.00015139025,18.02101
4,P3,0.4178018,0.43401495,0.00020599335,8.935372
5,P5,0.41008157,0.3438795,0.0005363195,8.746736
6,F9,0.40811434,0.5007824,0.00033333167,8.426622
7,PO3,0.3714282,0.382384,0.00018398739,11.120113
8,PZ,0.34863943,0.34187394,0.0002793031,6.00296
9,F8,0.33906916,0.33520865,0.00017721462,7.3866625
10,P1,0.33726218,0.3179417,0.00034890504,6.065189
11,T7,0.33570203,0.30823413,0.0002278586,6.3077464
12,P6,0.33100554,0.28569996,0.00033379946,6.055056
13,F1,0.32977444,0.2666904,0.00013957355,5.0030823
14,CPZ,0.32066402,0.28227156,0.00038159025,3.945496
15,P8,0.31643787,0.27359623,0.00019094674,4.8184977
16,P7,0.29916415,0.31062397,0.0001854038,7.1598167
17,CP1,0.2986497,0.27768132,0.00019307775,5.2580323
18,P4,0.28941008,0.30332798,0.00016288293,6.9254136
19,POZ,0.28815362,0.25889102,0.00020927771,9.683092
20,OZ,0.28785592,0.25367776,0.00039676816,5.2915025
21,P2,0.2856552,0.2674616,0.0002379673,4.9588866
22,F4,0.28160116,0.24197085,0.0001290339,8.17059
23,O1,0.2781313,0.26886544,0.00020573355,6.389455
24,FT7,0.2770899,0.3285051,0.00023526653,6.40951
25,FC5,0.2627656,0.26330078,0.00020265374,5.586504
26,CP2,0.26033244,0.30256277,0.00019869734,7.597149
27,FT8,0.25764576,0.25885546,0.00015036273,5.0453415
28,T10,0.25720495,0.21610737,0.00024811985,4.8782616
29,F3,0.25581843,0.24023254,0.00019894258,6.497008
30,FC6,0.254471,0.2553957,0.00018822742,5.1484656
31,F2,0.2538369,0.20764731,0.00017638148,4.0139127
32,O2,0.24389532,0.22970052,0.00015928462,5.8432665
33,C6,0.24184363,0.26883915,0.00020540811,5.861495
34,PO8,0.23847537,0.28399903,0.00023243164,14.7514305
35,FP2,0.2373554,0.25967264,0.000139297,6.639267
36,C5,0.2261129,0.22274064,0.00015897943,6.404786
37,FP1,0.22188571,0.2631971,0.00018067581,9.511902
38,C1,0.21932994,0.22885196,0.00026890327,7.0391564
39,AF8,0.21620512,0.27176926,0.00016793638,6.5944586
40,F7,0.21453829,0.19369592,0.00024657827,4.886994
41,C3,0.21264331,0.22227286,0.00025063215,4.352986
42,FC3,0.21073498,0.21316835,0.0001901957,6.877167
43,C4,0.20985469,0.21712221,0.00020279802,6.0696826
44,CP6,0.2014347,0.26680195,0.00017106124,12.06976
45,FC4,0.2014007,0.19298208,0.00028871995,5.728766
46,F5,0.200477,0.19038598,0.00013917928,7.7892313
47,CP5,0.19652343,0.19520652,0.0002876321,5.650829
48,F6,0.19487761,0.19285692,0.00015452395,7.4229155
49,AF4,0.18772888,0.18613401,0.00010148605,6.9769635
50,FC1,0.18562233,0.1688015,0.00015842874,5.0937
51,C2,0.17306963,0.1817517,0.00030695903,5.924832
52,F10,0.1695592,0.16961809,0.00020690379,3.278471
53,FC2,0.15848474,0.1394672,0.00015524434,3.0749164
54,CP3,0.1557341,0.13440691,0.00017869004,2.6423352
55,AF3,0.1556126,0.1542101,0.00019463114,8.357138
56,CP4,0.15393408,0.1685359,0.00024831895,4.6795497
57,T8,0.15067804,0.14381345,0.00017946548,3.7972283
58,AFZ,0.14787363,0.1326543,0.00019175389,8.434623
59,AF7,0.1270749,0.107511334,0.00017584185,1.9080648
60,T9,0.116823226,0.09655522,0.000187339,2.0187483
