Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,PO4,0.22662145,0.2511575,0.0037197305,2.625822
2,P6,0.1998312,0.1971669,0.002276732,3.3125591
3,PO7,0.1938373,0.15564686,0.0029043043,1.8708553
4,P5,0.19117276,0.16910651,0.002803269,2.6912072
5,FZ,0.18292193,0.24599978,0.0021755728,3.8720393
6,OZ,0.17995812,0.16489181,0.0038657922,1.8039088
7,PO3,0.17928585,0.19120115,0.0023342664,3.528196
8,F9,0.17649095,0.17793146,0.0022213645,2.278992
9,P1,0.17020564,0.16644433,0.0022543638,1.8214554
10,CPZ,0.17019463,0.13839999,0.0031405857,1.9758295
11,T7,0.16816548,0.16917685,0.001690272,2.790267
12,P3,0.16064428,0.17075026,0.0022772187,3.6901038
13,F8,0.15527959,0.14972301,0.001940117,2.768806
14,PZ,0.14986266,0.1351778,0.0025453696,1.546803
15,PO8,0.14795488,0.2076,0.0018750217,6.199929
16,F3,0.14670067,0.14494655,0.002049014,2.39333
17,F1,0.14455226,0.13387178,0.0024464251,2.2074254
18,P4,0.14362471,0.15182337,0.0020697361,3.511319
19,P2,0.14052705,0.11734968,0.0030203306,3.066949
20,P7,0.13768008,0.120309256,0.002087066,1.6832943
21,F4,0.13144772,0.12631385,0.0025589205,2.6014178
22,P8,0.13090304,0.107583456,0.003060311,1.3955051
23,CP1,0.12928793,0.13070002,0.002787975,2.1828177
24,O1,0.12180519,0.104680814,0.0020949144,1.4902716
25,C1,0.12061491,0.12606324,0.0018079575,1.5397373
26,FC5,0.11926865,0.12940824,0.00085847377,1.531159
27,AF4,0.118212536,0.12859744,0.0011902037,2.446568
28,FC6,0.116767734,0.12778986,0.0014517208,1.6688989
29,POZ,0.11667811,0.099205166,0.0027967244,1.4040573
30,FP1,0.116525754,0.11902187,0.0021752373,3.7569695
31,O2,0.11510416,0.09388197,0.0020316502,1.1324764
32,T10,0.1142565,0.096522436,0.0025698685,1.6295685
33,F7,0.1120956,0.09613638,0.0023815755,1.0079426
34,FP2,0.109625354,0.10581123,0.0015812939,1.1383055
35,FC3,0.1062199,0.12021402,0.0011408539,2.5065024
36,C4,0.104676105,0.11664747,0.0017759516,2.3560185
37,C3,0.104501255,0.12173726,0.0018695336,2.7326884
38,CP2,0.103806265,0.102751195,0.0015436971,1.1200106
39,C2,0.100108534,0.09693987,0.0024357862,1.719379
40,FT7,0.099424675,0.09530258,0.0012103028,1.1291256
41,F6,0.0975343,0.09654035,0.0015075196,1.626623
42,FT8,0.096740015,0.08255439,0.0020264066,0.87902284
43,FC1,0.09562461,0.087436154,0.0018246642,1.1410606
44,CP6,0.09285098,0.14554702,0.0022302242,3.8768682
45,CP5,0.09261837,0.111524105,0.0017058802,3.6035957
46,F2,0.09260445,0.07981914,0.0020882587,1.3719476
47,AF8,0.09188425,0.10122585,0.0010523717,1.2289968
48,C6,0.0906278,0.086316325,0.0011833954,1.6648984
49,FC4,0.08988422,0.08854834,0.0017257633,2.323048
50,F5,0.087022945,0.08314769,0.0023353177,1.3765815
51,C5,0.086448476,0.073951274,0.001719972,1.0477405
52,F10,0.08573197,0.08742557,0.0016527976,1.771837
53,T8,0.08017132,0.07263378,0.0015628071,0.97124934
54,AF3,0.078717574,0.0627006,0.0023360094,1.1426438
55,CP3,0.07727573,0.0690055,0.0016514891,1.4408038
56,AFZ,0.07311257,0.060907826,0.00142755,1.5468155
57,FC2,0.07237289,0.06977521,0.0009116972,1.8543066
58,CP4,0.0722085,0.07205513,0.0024549433,2.0434291
59,AF7,0.060572725,0.052020993,0.00081402285,0.99913335
60,T9,0.05809504,0.045567133,0.0009379086,0.78586525
