Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,P5,0.14419746,0.12997955,0.00052640866,2.3579247
2,P6,0.14334965,0.13382818,0.00053195417,2.3572557
3,PO4,0.14201887,0.16602899,0.00028282954,4.75964
4,FZ,0.13859716,0.18343729,0.00037306684,2.6485045
5,F3,0.13640022,0.14401115,0.0003688216,1.7498846
6,PO7,0.13018572,0.10379363,0.00088904274,1.5712063
7,F8,0.122754216,0.12517656,0.00043018613,2.3211265
8,P3,0.121086806,0.13771467,0.0004332581,2.008442
9,F9,0.10801505,0.11228239,0.00044737398,1.5730804
10,P1,0.107914105,0.11539393,0.00058974983,1.9742694
11,CPZ,0.1062279,0.09772639,0.0005121943,1.5155586
12,T7,0.1019171,0.11694224,0.0007370743,1.5880228
13,F1,0.09821411,0.086032085,0.00041764803,1.5532773
14,PO3,0.094944246,0.09629062,0.00031501634,2.4882681
15,F4,0.09410439,0.104478054,0.00034935868,2.0428362
16,OZ,0.09309358,0.07975327,0.00067236705,1.0204306
17,PO8,0.0922051,0.102264225,0.0004613199,2.6958098
18,FC5,0.08855405,0.10526115,0.0004979764,2.064732
19,P4,0.08758106,0.11778989,0.00045551395,3.8432355
20,FC3,0.08655512,0.08286437,0.000492759,1.2774179
21,PZ,0.085909374,0.07363475,0.00036409177,1.6814166
22,FC1,0.08517031,0.07655059,0.0003273019,1.2558528
23,P7,0.08261885,0.07336425,0.00037610196,1.8717638
24,FP1,0.08211643,0.08097204,0.0005977726,2.7351422
25,FT8,0.08156795,0.081961825,0.00034752532,1.4976281
26,C5,0.081005655,0.07272666,0.00038106,1.053193
27,P8,0.07862995,0.06523482,0.000505248,0.94467235
28,O2,0.07839918,0.06836925,0.0004804219,1.2299303
29,O1,0.07836976,0.07214774,0.0005481734,1.3605
30,P2,0.0758693,0.066704415,0.00043312408,2.6767986
31,C1,0.071528114,0.06625721,0.00042782637,1.214371
32,CP1,0.07117321,0.05803716,0.0004960433,0.89274216
33,C3,0.06952626,0.07674444,0.0004574856,1.2870126
34,FT7,0.06813451,0.06471322,0.00044007518,1.339469
35,FP2,0.06731734,0.06901816,0.00039097553,0.784779
36,FC6,0.06292905,0.05641526,0.00051163416,0.89302486
37,AF3,0.060748152,0.058571175,0.00047132082,1.7733595
38,CP5,0.060479533,0.06045599,0.00030471274,1.4105235
39,F5,0.05949121,0.05588235,0.00025442845,1.9335812
40,POZ,0.05927132,0.056280263,0.00033140948,1.2658238
41,C2,0.058889557,0.064890444,0.00022646505,1.1855335
42,T10,0.05866626,0.0508985,0.00064685236,1.0129194
43,CP3,0.05748195,0.051195513,0.0003037972,1.3257043
44,F7,0.05721626,0.05173971,0.00045474133,1.0804429
45,CP2,0.05676987,0.056002256,0.0005247843,0.8667085
46,FC4,0.056740575,0.051667433,0.00035973947,1.231651
47,C6,0.055859424,0.059426207,0.0004982098,1.767648
48,F6,0.054274432,0.05129556,0.0004650139,1.4524525
49,AFZ,0.054073334,0.054109536,0.00046266345,1.1504982
50,AF8,0.053934008,0.064979576,0.0003472353,1.5651067
51,C4,0.05254219,0.06414437,0.00023343245,1.3356137
52,F10,0.05212998,0.041718956,0.00035915629,0.54999405
53,FC2,0.051377494,0.04614903,0.00041151835,1.1779655
54,AF4,0.049825393,0.046631895,0.0003475941,1.2982763
55,T8,0.04925146,0.045973178,0.00046469635,1.545275
56,F2,0.049039435,0.043101523,0.00040815293,1.0055046
57,CP4,0.045292865,0.043070536,0.0002700522,0.78412825
58,CP6,0.044180997,0.059845652,0.00038204907,5.194933
59,AF7,0.03996524,0.03854368,0.00039980447,1.0927767
60,T9,0.03380688,0.025301514,0.0003456482,0.5849342
