Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,PZ,0.019045413,0.023717111,0.0003251508,0.40246135
2,P4,0.017515637,0.02090643,0.00032045532,0.33187696
3,AFZ,0.017474778,0.022655832,0.00031974504,0.41960526
4,FC3,0.016878149,0.021130327,0.0003033435,0.35956627
5,C6,0.016741063,0.022473767,0.0002862044,0.40490767
6,T10,0.016567482,0.01941681,0.00033168643,0.29316932
7,P7,0.016029341,0.01902282,0.00031129137,0.2985268
8,CPZ,0.015688315,0.018910544,0.00030615958,0.3102797
9,FC4,0.015588242,0.01858265,0.00028445755,0.30264896
10,P3,0.015573897,0.019321812,0.00032296806,0.3500876
11,PO4,0.015460777,0.017971555,0.00031055624,0.29086757
12,P1,0.01544401,0.018281268,0.0003441074,0.3065603
13,CP1,0.015431476,0.019320298,0.00029185554,0.3185776
14,F3,0.015239286,0.018312944,0.0002855584,0.30651337
15,P5,0.01521322,0.018344007,0.0002844045,0.30157024
16,PO3,0.015205208,0.017419837,0.00030061277,0.26887265
17,POZ,0.015028986,0.01792523,0.00027558784,0.26970208
18,C3,0.0149139995,0.017452769,0.00032203822,0.2798993
19,F4,0.014852673,0.018046489,0.00028136757,0.29509535
20,C2,0.014553249,0.017033834,0.00029642374,0.28390667
21,F9,0.014501988,0.016360117,0.00029177687,0.22959036
22,CP6,0.014325297,0.016799979,0.00027389784,0.2700187
23,FT8,0.01432283,0.016944608,0.00030576318,0.24063133
24,P8,0.013769689,0.014878298,0.00028212366,0.22574799
25,AF3,0.013687602,0.016202435,0.0002971852,0.2736757
26,F2,0.013542665,0.015171198,0.00030335382,0.24501726
27,O1,0.013339676,0.015506344,0.0002679833,0.24898018
28,CP5,0.01325631,0.015497793,0.0002679577,0.26602826
29,F7,0.013162942,0.015319289,0.0002905192,0.25079367
30,FC5,0.0129963625,0.01519819,0.00028675227,0.2631395
31,P6,0.012969047,0.015603048,0.0002512786,0.26322544
32,F10,0.012949038,0.015564851,0.00027214707,0.26262012
33,P2,0.01276509,0.014035169,0.00029739432,0.21523172
34,F6,0.012764947,0.014701562,0.00027121193,0.21885875
35,FC6,0.012645899,0.014472876,0.000294819,0.22385326
36,PO8,0.012429874,0.012821105,0.00033745452,0.16299754
37,FP1,0.012268165,0.013278849,0.00032418105,0.22622961
38,PO7,0.012130377,0.012730139,0.00027999224,0.18451284
39,AF8,0.012130191,0.013593365,0.00025641356,0.21890181
40,F1,0.012082474,0.0133283995,0.00028545893,0.19438541
41,FC2,0.011773645,0.012228781,0.00029357767,0.16235474
42,O2,0.011639695,0.013007944,0.00026782454,0.17100517
43,C4,0.01148734,0.012109479,0.00029089535,0.16842088
44,T9,0.011415699,0.011579087,0.00029832206,0.16567445
45,CP4,0.011404387,0.012084015,0.00026583808,0.17953062
46,FC1,0.011278839,0.012449818,0.00027642294,0.18473437
47,FT7,0.01119185,0.012024749,0.00028204286,0.19053943
48,C1,0.011057689,0.011821793,0.0002586641,0.17439483
49,AF4,0.010989304,0.011342346,0.00025746337,0.16337247
50,FZ,0.01092569,0.0112034725,0.0002623733,0.14165507
51,T7,0.010896248,0.011206242,0.00027250245,0.1445034
52,CP3,0.010884709,0.011064998,0.00026137906,0.15563709
53,FP2,0.010679684,0.01043586,0.0002646494,0.12542625
54,F5,0.010642677,0.010211444,0.0002908372,0.123381324
55,OZ,0.010531252,0.01139144,0.0002726915,0.17821273
56,C5,0.010325581,0.0100243455,0.0002598597,0.11263681
57,CP2,0.010269872,0.010299053,0.00026859806,0.13845031
58,AF7,0.010038383,0.010080961,0.0002811798,0.13462614
59,T8,0.009900211,0.009518513,0.00025744986,0.108234935
60,F8,0.009749531,0.010236246,0.00024178567,0.122515105
