Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,PZ,0.04256707,0.0870941,0.00021746576,2.2471418
2,PO8,0.041859757,0.087927505,0.0001999493,1.988827
3,CPZ,0.039214086,0.075992495,0.00021013006,1.642341
4,T10,0.039009184,0.075841606,0.00018702474,2.0896435
5,PO3,0.038649242,0.07954637,0.00019044103,1.66089
6,FC3,0.037559886,0.0750296,0.00017015677,1.6621957
7,P3,0.036258943,0.07243035,0.00018813334,1.6181248
8,FC4,0.035891905,0.069366366,0.00017312265,1.5929525
9,P4,0.034447867,0.06163083,0.00021553402,1.3475808
10,P8,0.033914693,0.05625759,0.0001835466,1.3653674
11,F7,0.033642687,0.06563807,0.00018718044,1.3335196
12,P7,0.03348631,0.06719043,0.00017624583,1.4038991
13,P5,0.032660283,0.06491334,0.00016468074,1.4160345
14,P1,0.032644503,0.05851828,0.00018143382,1.2216241
15,C3,0.03230197,0.05776446,0.00017009962,1.4061967
16,F1,0.03227674,0.059559673,0.00019856691,1.2296513
17,OZ,0.031825945,0.05777783,0.00017990121,1.2186236
18,CP5,0.03040816,0.061046384,0.00018372074,1.4650688
19,PO7,0.030190712,0.0542751,0.00018040935,1.07359
20,F3,0.030172208,0.055346753,0.00016739414,1.3236456
21,T8,0.030043244,0.060807697,0.00016017379,1.343093
22,F9,0.029932214,0.052226193,0.00019709766,1.4095422
23,AF7,0.029742006,0.05829621,0.00017784217,1.1585982
24,F2,0.029631374,0.05895161,0.00017212614,1.2480023
25,FC6,0.029615492,0.054484375,0.00019005236,1.2508789
26,AFZ,0.029444138,0.054882582,0.00018403534,1.1423408
27,AF4,0.029442407,0.058615737,0.0001780071,1.2120389
28,C6,0.02900171,0.055016827,0.00016679791,1.0979037
29,POZ,0.028929781,0.054641318,0.00016284903,1.2457149
30,C2,0.028286422,0.057018686,0.00016259341,1.21533
31,CP6,0.027962277,0.04731621,0.00017452007,0.95789546
32,PO4,0.027923124,0.051913135,0.0001722756,1.0557122
33,FT8,0.027917966,0.051687382,0.00015817347,1.0275156
34,F6,0.02755306,0.050119016,0.00017718245,0.9666612
35,FP2,0.027477222,0.049536206,0.00016594934,1.1861311
36,F4,0.0274766,0.04595618,0.00016673747,1.0650934
37,P2,0.027408637,0.047407106,0.0001741425,1.0320363
38,FC5,0.027217813,0.050596535,0.00015040021,0.9831451
39,CP4,0.027186293,0.049841337,0.00017416678,1.1147008
40,F5,0.02713171,0.050610933,0.00013317632,0.92961365
41,T9,0.02703202,0.047517482,0.00017667975,0.98102814
42,CP1,0.026959084,0.052907128,0.00016311958,1.2212203
43,C1,0.026940385,0.04804609,0.00019192114,1.0331514
44,FT7,0.02694002,0.051961116,0.00016440007,1.092719
45,O1,0.026509475,0.045093767,0.00015643229,0.9207195
46,AF3,0.026438765,0.050031886,0.00014397703,1.2461601
47,FC1,0.026267191,0.049505282,0.00015705514,1.1217012
48,C5,0.02613396,0.044312052,0.00017282793,0.9190332
49,O2,0.026007438,0.04486265,0.0001588625,0.86437774
50,CP2,0.025899021,0.048271656,0.00017497597,1.0748168
51,AF8,0.025806062,0.047698405,0.00016144659,1.1177186
52,F10,0.025632545,0.043643903,0.00016373755,0.9783591
53,CP3,0.025624529,0.04475593,0.00015922134,0.9893413
54,C4,0.025447125,0.044633064,0.0001594824,0.86667037
55,FZ,0.023919376,0.038393937,0.00019122828,0.8815072
56,FP1,0.023876606,0.040486827,0.00015400845,0.89030594
57,FC2,0.02387409,0.041084196,0.00016379592,0.8433891
58,P6,0.02347526,0.037315413,0.00017686012,0.8204663
59,F8,0.023094734,0.04012448,0.00016072192,0.7080351
60,T7,0.02195295,0.03443473,0.00016009928,0.7787286
