Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,PO8,0.03314873,0.08535736,8.386347e-05,2.0849428
2,PO3,0.032972015,0.08465632,0.000106995605,2.0134902
3,CPZ,0.03283359,0.08537166,0.00010290996,1.9021254
4,FC4,0.029955888,0.08047023,8.6342036e-05,1.7781193
5,PZ,0.02984,0.07760396,9.912869e-05,1.9141132
6,T10,0.02798264,0.06957909,9.916565e-05,1.7893507
7,FC3,0.027952444,0.07322511,0.00010423723,1.6950855
8,PO4,0.026960706,0.07217413,9.240982e-05,1.6837487
9,P3,0.026789498,0.07067496,9.1560614e-05,1.699976
10,P5,0.02637142,0.066577956,8.594122e-05,1.457026
11,P7,0.026192073,0.071555585,8.923728e-05,1.7220156
12,F7,0.026023444,0.06916194,9.663084e-05,1.641867
13,P1,0.025310952,0.061387308,9.05058e-05,1.4417497
14,C3,0.024894921,0.061534885,9.435996e-05,1.387644
15,F3,0.024873465,0.06394908,9.519983e-05,1.5857943
16,P4,0.02468271,0.060244866,0.00010267667,1.3135415
17,F1,0.0242538,0.058868755,8.641261e-05,1.3301086
18,P8,0.02295964,0.049502764,0.00010371755,1.233897
19,F2,0.022811892,0.05957207,9.69955e-05,1.4850305
20,POZ,0.022487111,0.0538973,9.09165e-05,1.4076202
21,F6,0.02232831,0.054873817,9.2914845e-05,1.2610041
22,CP5,0.02227966,0.05840032,9.122694e-05,1.3343562
23,C6,0.022016963,0.05296152,9.8949e-05,1.1542416
24,FC6,0.021891024,0.051723596,9.505039e-05,1.1392955
25,F4,0.021764055,0.045815963,0.00011234864,1.0500563
26,CP4,0.021707663,0.051941216,9.090079e-05,1.0798262
27,T9,0.02144974,0.05256329,8.883279e-05,1.1993937
28,O1,0.021413656,0.052674666,8.362633e-05,1.1749353
29,C2,0.021300169,0.054830186,9.6073425e-05,1.2602774
30,AF7,0.021187356,0.054922663,9.926479e-05,1.4085999
31,OZ,0.02100271,0.046225328,9.225901e-05,1.0319663
32,CP1,0.020758053,0.051849995,7.7404045e-05,1.1794952
33,F10,0.020717973,0.052590977,8.539354e-05,1.2548163
34,AF4,0.020715227,0.051746458,9.307449e-05,1.2260569
35,C1,0.020641478,0.047680475,9.526169e-05,0.99987334
36,F9,0.020576583,0.04792361,9.9387405e-05,1.047084
37,T8,0.020439222,0.054411795,7.68393e-05,1.3596008
38,AF8,0.020428637,0.052121293,7.827435e-05,1.2322155
39,CP6,0.020192454,0.04341866,0.000106027794,0.86928093
40,FC5,0.020146124,0.047647983,8.0976584e-05,1.0110966
41,PO7,0.020111019,0.040737,9.149608e-05,0.90444595
42,CP2,0.020049669,0.051045354,7.873977e-05,1.147917
43,FZ,0.019369807,0.043563623,8.966092e-05,0.9610269
44,AF3,0.019289581,0.04551415,8.136144e-05,1.1250924
45,AFZ,0.019268032,0.040647827,9.329355e-05,1.008074
46,C5,0.019217104,0.040476833,9.091699e-05,0.8834442
47,FT8,0.019183101,0.040522974,7.930276e-05,0.8605032
48,FP2,0.019085636,0.041545767,8.414469e-05,0.87190914
49,FT7,0.018932002,0.045682736,8.17797e-05,1.0861824
50,P2,0.018786564,0.03960565,8.653754e-05,0.8115442
51,FC1,0.018755319,0.044245377,8.2091945e-05,1.1018697
52,F5,0.018458407,0.037209343,8.216015e-05,0.7268467
53,O2,0.017942682,0.0359125,9.643287e-05,0.78530806
54,FP1,0.017817464,0.038717594,8.901019e-05,0.8218388
55,F8,0.0175362,0.04009125,7.893432e-05,0.8528224
56,P6,0.017498227,0.033626035,9.913956e-05,0.6994578
57,C4,0.017125765,0.032599825,9.60694e-05,0.7025711
58,CP3,0.01703339,0.032951232,8.565594e-05,0.7142016
59,T7,0.016936556,0.037665047,8.0605874e-05,0.9111283
60,FC2,0.01689394,0.034115255,8.432055e-05,0.7691449
