Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,C3,0.4137211,9.500948,7.771997e-05,718.21686
2,FT8,0.38208845,9.316699,5.7695866e-05,712.6348
3,P2,0.27714145,6.790924,4.2344444e-05,515.4906
4,C5,0.2483386,6.4460435,2.6626754e-05,472.11337
5,PZ,0.24774551,6.0845327,4.5391567e-05,458.51236
6,P8,0.22684307,5.2747602,3.858583e-05,397.11612
7,P3,0.22314605,5.073317,4.23115e-05,381.54218
8,FT7,0.21721643,4.976829,3.8675917e-05,373.71442
9,PO7,0.21253783,5.05297,2.4672741e-05,384.7044
10,OZ,0.1949577,4.6094866,2.958995e-05,344.92358
11,PO4,0.19233742,4.9998994,2.6817834e-05,365.32428
12,CP2,0.1922576,4.8834953,3.194454e-05,358.54242
13,P6,0.18221746,3.750121,3.807634e-05,268.03482
14,T8,0.18060587,4.4172573,2.5023228e-05,321.67804
15,P5,0.17617059,3.7157443,2.8559114e-05,278.41574
16,C4,0.17464633,4.1290317,3.3552875e-05,305.28305
17,F5,0.1728723,2.793605,4.4605033e-05,206.75098
18,POZ,0.17217548,3.7073674,2.6875221e-05,277.74997
19,C2,0.16097663,3.4758177,3.6160498e-05,260.56918
20,P7,0.15799893,3.7656279,2.3138839e-05,290.41833
21,AF4,0.15783936,3.6049602,2.6021464e-05,266.63644
22,T9,0.15374851,3.466097,3.1591488e-05,254.86847
23,F3,0.15250155,2.8847086,3.8074933e-05,203.55127
24,AF7,0.15099768,3.1670055,2.8578019e-05,235.05359
25,C6,0.14238758,2.9268942,3.1116735e-05,223.85013
26,F4,0.13701056,2.6686285,3.098049e-05,198.14336
27,FC1,0.13383329,2.671037,2.5750209e-05,199.0586
28,FC6,0.13035518,3.160924,2.17538e-05,235.94434
29,C1,0.13034825,2.6026144,2.5974958e-05,198.21375
30,T10,0.12852776,3.0278778,1.4236918e-05,220.15103
31,F7,0.12698068,2.6780498,2.271988e-05,195.0873
32,CPZ,0.12626179,2.276773,2.324678e-05,170.15733
33,F9,0.123030916,2.5183394,1.7843238e-05,177.99376
34,FC2,0.122153655,2.852914,1.453157e-05,217.03722
35,AF8,0.11968962,2.734353,2.4712122e-05,205.05019
36,CP3,0.11832527,2.612088,2.228131e-05,191.55879
37,CP5,0.11317855,2.6391275,2.3881135e-05,197.23053
38,FC3,0.112541445,2.3366575,2.252501e-05,173.6709
39,F10,0.110285394,1.9961737,2.0853206e-05,149.47337
40,O1,0.10843465,2.3055303,1.7821318e-05,175.12169
41,AF3,0.09909666,1.9709678,1.6133981e-05,155.56459
42,PO8,0.096247904,1.9945211,1.4690542e-05,148.88222
43,CP6,0.095579535,1.8802022,2.0063757e-05,140.28407
44,FC4,0.095374584,2.082335,1.8018127e-05,159.81522
45,FZ,0.09291239,1.7013975,1.9108744e-05,126.229294
46,AFZ,0.092053205,1.4848044,1.9717962e-05,112.14929
47,O2,0.08944825,1.9621615,1.742826e-05,148.96982
48,F1,0.08917584,1.7771858,1.857783e-05,135.76695
49,P4,0.08777303,1.9962664,1.3565924e-05,147.68054
50,FP2,0.08772656,1.7900838,2.2506094e-05,132.80429
51,F2,0.081743,1.7139424,2.1990532e-05,118.96781
52,P1,0.07696026,1.1204101,1.972775e-05,82.79492
53,FC5,0.07560005,1.1914942,1.6661203e-05,87.399216
54,F8,0.07483965,1.479564,1.1730561e-05,110.568375
55,FP1,0.074198306,1.1330997,1.7868471e-05,87.08968
56,CP1,0.07153175,1.008673,2.2730284e-05,77.05858
57,CP4,0.0711012,1.4950151,9.289213e-06,110.29165
58,F6,0.07085923,1.1716244,1.7918122e-05,85.755646
59,PO3,0.059909564,1.026482,1.7152883e-05,74.618004
60,T7,0.05131237,0.99069476,1.5415862e-05,72.829445
