Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,C3,0.15605305,2.0617433,5.4011198e-05,159.54892
2,FT8,0.13303383,1.7787981,3.597752e-05,138.92764
3,P2,0.10887482,1.5771241,3.8644237e-05,121.71489
4,PZ,0.101387054,1.7468231,3.8382954e-05,150.38748
5,P8,0.09396118,1.5855436,5.040297e-05,135.9954
6,F5,0.08578356,1.3620296,3.6218556e-05,117.61617
7,P3,0.085641354,1.2096444,2.574724e-05,99.918846
8,FT7,0.084715754,1.1166103,2.1295631e-05,90.70017
9,C5,0.08420189,1.0589064,2.7491187e-05,76.49771
10,PO7,0.08293453,1.0599794,4.654569e-05,76.017654
11,P6,0.082865305,1.254078,1.8761863e-05,101.397865
12,P5,0.08212392,1.2711937,3.2370932e-05,108.42185
13,OZ,0.07505975,0.87284404,2.764217e-05,62.624847
14,AF4,0.06981715,0.6282864,3.0459101e-05,40.83985
15,POZ,0.06914096,0.85493314,2.6984228e-05,65.547226
16,C4,0.068636596,1.0750145,3.079155e-05,85.91934
17,CP2,0.06856088,0.89280874,2.9667563e-05,64.28059
18,CPZ,0.06760109,0.7090477,3.2734362e-05,55.45059
19,AF7,0.06694947,0.9315653,3.2917433e-05,76.677536
20,F3,0.06503556,0.71679336,2.3809765e-05,57.5312
21,P7,0.061532013,0.7631234,2.5238935e-05,55.668594
22,C2,0.059710596,0.615177,3.1575004e-05,41.619698
23,CP3,0.058398392,0.5721711,2.8558574e-05,42.579216
24,PO4,0.057837307,0.68955815,2.5766945e-05,48.739883
25,F10,0.057456136,0.9418888,3.107197e-05,82.368965
26,FC2,0.057130948,0.718431,1.8367638e-05,56.958443
27,F4,0.05632217,0.5097878,3.0899577e-05,35.7623
28,C6,0.054836795,0.61869425,2.5686304e-05,49.17795
29,C1,0.05465982,0.6338104,1.884022e-05,47.895966
30,F7,0.053030003,0.7594535,2.4047893e-05,65.91805
31,AFZ,0.051549453,0.6358711,2.0213043e-05,50.247864
32,CP5,0.051392764,0.6424144,2.8283568e-05,47.68166
33,F2,0.050333448,0.4876976,2.8866656e-05,36.29261
34,T8,0.048787534,0.6475753,1.7237136e-05,48.979134
35,FC5,0.04843918,0.6169217,2.3282435e-05,48.816265
36,FC6,0.04763652,0.6768295,1.789264e-05,54.468964
37,FC1,0.047448844,0.5654397,2.1927703e-05,42.725777
38,FC3,0.045814123,0.61427075,2.425659e-05,49.45124
39,F9,0.045014903,0.7410213,1.1400929e-05,63.666416
40,CP6,0.044947695,0.45304918,2.2482294e-05,31.567688
41,F8,0.04485166,0.53893656,2.070195e-05,39.851803
42,T9,0.044775598,0.50137407,1.7919845e-05,34.573055
43,AF3,0.044506405,0.5535622,2.13138e-05,45.009785
44,FZ,0.044162385,0.5202108,1.8630899e-05,41.750908
45,FP1,0.043370213,0.45827782,1.5380198e-05,34.95843
46,O2,0.042276997,0.5588915,1.3354427e-05,44.853
47,FP2,0.041373767,0.6451326,1.6105938e-05,56.408348
48,F6,0.041278217,0.5634778,1.9868308e-05,46.768402
49,O1,0.041060206,0.39192072,1.1699688e-05,29.05642
50,T10,0.040529307,0.46199763,7.56038e-06,39.18802
51,F1,0.039990656,0.40133515,1.1392991e-05,28.58833
52,P1,0.03914762,0.4514234,2.5213674e-05,36.3222
53,FC4,0.039099827,0.53156585,1.4223177e-05,40.237026
54,PO8,0.038860325,0.5481194,1.3995482e-05,47.412544
55,AF8,0.038281098,0.43954,2.1525475e-05,32.869083
56,CP1,0.036778145,0.5074459,1.248304e-05,40.012596
57,P4,0.036607403,0.5160223,1.6350616e-05,41.96415
58,PO3,0.03249362,0.28376526,1.7656404e-05,19.62547
59,CP4,0.028130824,0.32844943,9.853556e-06,25.277876
60,T7,0.024072077,0.22406167,7.974164e-06,15.75322
