Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,C3,2.284862,2.648719,0.01454053,38.501514
2,FT7,1.8119248,2.620894,0.013521221,72.35995
3,C5,1.7522418,1.9412674,0.015939575,25.700497
4,PO7,1.7339985,2.1496959,0.009126465,49.871532
5,FZ,1.7025136,2.3715272,0.008445461,50.451965
6,PZ,1.668059,1.9311055,0.01384393,40.675625
7,C1,1.6511188,1.74661,0.010338006,21.850122
8,FT8,1.6497718,2.014943,0.007757446,37.830387
9,P6,1.5643456,1.590616,0.0077692256,27.575293
10,P3,1.5214345,1.578696,0.0070889755,19.249306
11,PO4,1.5039606,1.5767905,0.013156786,24.035831
12,F1,1.4979317,1.4589562,0.012591411,28.273935
13,OZ,1.490893,1.4687226,0.023248281,28.073666
14,P1,1.4699585,1.5441526,0.008581433,32.992954
15,P5,1.4605025,1.2722979,0.0088015925,26.682163
16,C2,1.3612804,1.4839041,0.007023853,26.181807
17,T7,1.3519962,1.4483002,0.005484471,30.589375
18,CP1,1.341772,1.3565348,0.015167479,18.825138
19,F4,1.3326195,1.3667614,0.006114158,26.377853
20,F2,1.3277131,1.279129,0.0078006303,19.49802
21,FC3,1.3200316,1.5596756,0.01324306,24.184692
22,P7,1.3074553,1.28667,0.0072959326,16.580532
23,T8,1.3050314,1.2989717,0.011776936,18.004284
24,F5,1.2989922,1.4487604,0.008114258,21.831255
25,C4,1.2969459,1.2755984,0.008687451,18.33837
26,AF7,1.2914393,1.4733112,0.012115707,19.707968
27,PO3,1.2751681,1.2641642,0.0063121663,25.65394
28,C6,1.2737467,1.2640486,0.010546963,18.331068
29,T10,1.2344598,1.3463032,0.013216333,23.007807
30,P8,1.2331803,1.2344387,0.010081608,32.63025
31,PO8,1.2273241,1.1756109,0.011320493,23.479277
32,F8,1.2005566,1.5321892,0.0105194,26.986076
33,AF4,1.1943389,1.204528,0.0063323476,19.379883
34,O2,1.1863705,0.97436094,0.013528953,13.86488
35,O1,1.1806059,1.1010649,0.011499735,15.933395
36,FC4,1.1761291,1.3492436,0.0076762866,20.110466
37,AF3,1.1729938,1.2000464,0.0071539544,18.362019
38,F3,1.1651448,1.2924942,0.0063482863,20.355324
39,AF8,1.131898,1.4923751,0.0064572464,43.8136
40,CP4,1.1042645,0.98423845,0.013292181,15.430537
41,FC6,1.1027901,1.3741966,0.009627248,37.189007
42,CP3,1.0957154,1.0172585,0.013048789,14.438024
43,CPZ,1.0935996,1.2139424,0.009659556,20.437338
44,P2,1.0889678,0.9348861,0.012878205,25.534819
45,CP2,1.0786645,1.2321253,0.0074393945,15.961008
46,FC1,1.0415325,1.1632729,0.008592838,23.53929
47,POZ,1.0206522,0.9758174,0.012447912,16.068855
48,F6,1.0177534,1.035413,0.00909389,22.487082
49,FC2,1.0058954,1.0513023,0.007108832,15.481495
50,CP5,0.974503,0.9643295,0.0081610335,12.790567
51,P4,0.9557167,0.9120384,0.0065590814,15.487414
52,F7,0.9288779,0.96258795,0.014417915,15.427829
53,FP2,0.90894616,0.8940002,0.009716334,13.437578
54,FP1,0.8732579,1.056332,0.0054168603,31.889893
55,CP6,0.81609297,0.78809315,0.005420289,11.748012
56,AFZ,0.76975316,0.81752497,0.010422345,15.700041
57,FC5,0.7467237,0.7011148,0.009498904,12.130351
58,F9,0.73995674,0.7476678,0.006299341,11.120219
59,T9,0.7016991,0.61114895,0.006577439,15.925282
60,F10,0.6409404,0.7416993,0.0071284333,23.178251
