Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,C3,2.3654716,2.5060828,0.011007288,49.217216
2,FZ,2.105098,2.7533424,0.0023132795,73.69841
3,FT7,1.9682977,2.5259686,0.0039522666,64.87848
4,C5,1.904245,2.0914469,0.011049547,35.243557
5,PO7,1.8404247,2.0855143,0.0047870935,32.163975
6,C1,1.8135761,1.8462371,0.004535846,23.240902
7,FT8,1.7946949,2.0950541,0.0028689401,38.07514
8,PZ,1.7892178,1.9784703,0.004889063,31.647884
9,P6,1.6074116,1.5389478,0.0015255933,22.619467
10,OZ,1.5777324,1.5714865,0.004574359,33.449524
11,PO4,1.5706141,1.5331068,0.0030067628,23.272968
12,P3,1.5375979,1.5526538,0.003986235,27.811848
13,P1,1.518818,1.4802076,0.0024108435,29.844599
14,P5,1.5034419,1.2252337,0.0026465154,22.516592
15,C2,1.4786953,1.491134,0.0030918317,22.975294
16,F1,1.443576,1.4010848,0.0039526145,26.738447
17,CP1,1.4067469,1.4089686,0.0042811423,22.966888
18,FC3,1.4063438,1.6192431,0.003000993,31.222416
19,T7,1.4058515,1.478051,0.0049829734,29.215204
20,F2,1.3978304,1.2960668,0.0014601283,22.347403
21,C4,1.3917665,1.3177933,0.005145343,22.104443
22,F5,1.3677316,1.4745271,0.0029629762,37.898506
23,C6,1.3590721,1.3018754,0.003043617,23.087631
24,F4,1.3570728,1.2829745,0.0015282664,23.63049
25,P7,1.3427601,1.2866949,0.0032013655,23.298214
26,AF7,1.3398961,1.4646808,0.005562842,31.244545
27,F8,1.325352,1.6789789,0.0019676825,45.881985
28,T8,1.32005,1.2380916,0.002100763,22.083858
29,T10,1.3116845,1.4670275,0.0038133818,30.032299
30,P8,1.2807846,1.2571354,0.004414941,26.742418
31,PO3,1.2767155,1.1282095,0.0028140103,23.372156
32,AF4,1.2756097,1.2391151,0.0020427816,26.565302
33,PO8,1.2658664,1.199851,0.0032045313,30.547176
34,AF3,1.2588202,1.2504125,0.0028440803,31.403185
35,CP2,1.2451221,1.4831665,0.0032260474,25.22838
36,FC4,1.2306502,1.3721244,0.0032116203,35.05191
37,O2,1.218264,0.9825626,0.0030502582,16.884914
38,F3,1.1984681,1.2428385,0.0047745723,29.277294
39,O1,1.1951616,1.0634161,0.002318279,21.211891
40,CPZ,1.1827794,1.2434527,0.0031085229,32.447445
41,AF8,1.1587913,1.330053,0.0021761176,61.60853
42,CP3,1.1577716,1.0700305,0.005016932,21.474712
43,FC6,1.140314,1.3403081,0.0027943098,28.138464
44,CP4,1.1310644,0.9588276,0.0052044247,25.661074
45,P2,1.117933,0.9663972,0.0028635645,14.749526
46,FC1,1.1095171,1.1998445,0.0017410186,34.311573
47,FC2,1.0791891,1.0821185,0.00168199,20.79208
48,F6,1.0736568,1.1642668,0.0021532374,52.54395
49,POZ,1.0491168,0.89884883,0.0022292503,11.810183
50,CP5,1.0221813,0.98440695,0.0031835772,17.142115
51,P4,0.9813469,0.89976555,0.0016105673,19.221998
52,FP2,0.97096074,1.0019674,0.0016425161,26.70965
53,F7,0.9406754,0.921662,0.003112725,16.86765
54,FP1,0.917414,1.1523559,0.004591154,42.899807
55,CP6,0.89232296,0.8956461,0.002207623,29.854445
56,AFZ,0.8388392,0.8837449,0.00212764,20.929873
57,FC5,0.7998064,0.7434385,0.0034657887,17.627071
58,F9,0.79552275,0.8595717,0.0019708984,22.12124
59,T9,0.71191984,0.60672075,0.0028856378,21.955244
60,F10,0.68009067,0.7404389,0.002043212,16.857616
