Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,FZ,0.89037883,1.7906514,0.0035981357,44.478252
2,C3,0.83920395,1.3063096,0.0053220494,30.22686
3,PO7,0.7695737,1.4424658,0.0043881843,35.443314
4,FT8,0.7339085,1.3082935,0.0017034548,37.264675
5,F1,0.6548095,0.9664391,0.0035444354,16.28817
6,C5,0.65275437,1.0206555,0.0019861537,20.164137
7,FT7,0.615883,1.2352343,0.0024588928,43.067024
8,C1,0.6143613,0.9089217,0.0030723696,17.141037
9,PZ,0.59230345,0.8968673,0.0020091676,23.049599
10,OZ,0.5879284,0.8751787,0.0044300635,20.035809
11,F3,0.5786875,0.93078387,0.0034258664,27.244486
12,PO4,0.5662779,0.84792465,0.0042022564,14.462684
13,PO3,0.55944145,0.8539237,0.0040622046,13.677636
14,CP2,0.54959536,1.0114413,0.002427085,19.348288
15,P3,0.5317837,0.76747423,0.0025326102,13.421777
16,P5,0.5265704,0.7642962,0.0034511732,16.517284
17,T7,0.5238452,0.84425366,0.0014587652,17.537003
18,C6,0.52376515,0.8684548,0.0041450034,17.70084
19,F5,0.5169243,0.9225263,0.0028027233,21.300327
20,P6,0.51686984,0.753872,0.0031609142,14.3889885
21,F2,0.51371825,0.75270855,0.0036244844,11.233799
22,C2,0.51144546,0.78522336,0.0042540585,16.962982
23,AF7,0.49952745,0.78124595,0.0022213887,19.194546
24,F4,0.49669093,0.70861745,0.003502724,11.926368
25,AF4,0.49521828,0.7668423,0.0022030382,26.959333
26,CP1,0.48625976,0.680957,0.0029239089,12.511293
27,P1,0.48260126,0.6717592,0.0039654085,12.523154
28,AF3,0.47610846,0.7262662,0.0016157469,14.9995985
29,C4,0.45072454,0.64887685,0.0032814713,9.856516
30,CPZ,0.4496788,0.68163466,0.0028226094,13.568685
31,AF8,0.43958953,0.73985505,0.0018588924,14.849954
32,FC3,0.4382361,0.6454238,0.0033609462,14.276035
33,F8,0.4353385,0.8120316,0.002200161,18.042955
34,F6,0.42515865,0.79452765,0.002780428,22.402802
35,O2,0.42190832,0.5786578,0.003609039,11.20886
36,T10,0.4209687,0.6961245,0.00082880165,11.946164
37,CP3,0.41952893,0.57669353,0.0024718074,9.185282
38,T8,0.41869423,0.6278838,0.002269238,11.404224
39,PO8,0.4186322,0.62594676,0.003551547,13.3714695
40,O1,0.40734452,0.59575385,0.0039309594,12.486311
41,POZ,0.40346265,0.55569607,0.0030781745,9.757352
42,P4,0.37809774,0.51936513,0.0034431147,11.760993
43,P8,0.37326816,0.5516838,0.0019236585,13.13698
44,CP4,0.36948887,0.5348786,0.003203283,11.269542
45,P7,0.3654981,0.5288489,0.0028827514,9.93273
46,FC4,0.3520818,0.5295521,0.0038847774,19.71174
47,CP5,0.3514455,0.48003513,0.0019828728,9.293652
48,FC2,0.34600058,0.5522874,0.0017976844,10.804487
49,P2,0.34460583,0.4553949,0.0038706702,7.9937134
50,FC6,0.33711594,0.55452514,0.0017715871,14.085752
51,AFZ,0.33220607,0.51997507,0.0023107128,9.880992
52,FC1,0.33060563,0.48354226,0.0023562794,9.316051
53,CP6,0.3174957,0.49601167,0.0035511623,12.265827
54,FC5,0.3097989,0.49954444,0.001757246,16.014708
55,FP1,0.29998788,0.45255834,0.0018199253,10.649941
56,F7,0.28766146,0.39607215,0.0019500109,8.349304
57,F9,0.26826942,0.44858915,0.0022740953,15.232026
58,F10,0.2621895,0.42682612,0.0019520461,13.662576
59,FP2,0.25633144,0.34823635,0.0020630788,12.675251
60,T9,0.21939598,0.28798112,0.0026247825,6.0137506
