Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,FT8,0.13525362,0.38698468,9.23165e-05,10.526979
2,P2,0.12429255,0.33638072,7.1164504e-05,9.763065
3,PZ,0.11876326,0.3068187,7.3413845e-05,9.274336
4,C3,0.107816495,0.32934493,7.268562e-05,10.432628
5,P8,0.105700344,0.28033,8.385533e-05,7.973417
6,P3,0.103195205,0.33350474,6.3931635e-05,10.600549
7,PO7,0.09543557,0.24543327,7.08171e-05,7.3550973
8,FT7,0.083330445,0.22476086,5.7238878e-05,6.0954094
9,T8,0.082570836,0.2654167,4.215989e-05,8.3916645
10,OZ,0.06986195,0.167422,5.8652007e-05,5.141227
11,P5,0.06780892,0.18239939,5.3999236e-05,5.5335264
12,AF3,0.067456365,0.18244395,5.2894608e-05,5.126816
13,C5,0.06666134,0.1812068,7.038759e-05,5.128996
14,F5,0.06490777,0.18433855,6.1714316e-05,6.1362195
15,C6,0.06482468,0.19001842,6.6908324e-05,6.162125
16,T10,0.06445673,0.15303546,6.109406e-05,4.793507
17,O2,0.063900545,0.16727512,5.2793366e-05,5.403585
18,AF4,0.06273893,0.14771995,5.582105e-05,4.7141213
19,CP2,0.061449666,0.16052587,5.4266668e-05,4.683021
20,C2,0.058391746,0.17514914,6.0999915e-05,5.6286454
21,AF7,0.05645244,0.14728484,5.643816e-05,4.401753
22,FC2,0.056302056,0.15113395,6.310627e-05,4.458937
23,AF8,0.054766856,0.13941243,5.6024983e-05,4.3484635
24,CP3,0.05429875,0.15686506,4.7934165e-05,5.009163
25,F10,0.0540947,0.15168539,6.5831075e-05,5.081649
26,F2,0.054084763,0.1411679,4.5886878e-05,4.632819
27,P7,0.053750623,0.140825,5.820462e-05,4.111916
28,F4,0.052037884,0.13056435,6.28679e-05,3.8346844
29,O1,0.051736746,0.12179878,6.86922e-05,3.4852588
30,FC6,0.050382003,0.12390976,4.4658547e-05,4.3320646
31,FP2,0.050059684,0.12151124,5.7922487e-05,4.14726
32,P1,0.04998668,0.13673197,6.273612e-05,4.3317266
33,C4,0.049921643,0.11647578,6.381841e-05,3.4702566
34,P4,0.049826957,0.12690724,6.524253e-05,3.5305438
35,FC3,0.04969012,0.13147289,5.2446565e-05,3.9121406
36,F8,0.049223382,0.1319554,5.5159126e-05,4.4588776
37,P6,0.049124252,0.13208303,5.1704556e-05,4.173258
38,T9,0.048169553,0.1346344,6.005783e-05,4.433744
39,F3,0.047936216,0.117452115,5.0320392e-05,3.5641937
40,CP5,0.047646727,0.111158155,5.3487103e-05,3.2397485
41,FZ,0.04740732,0.12432106,4.8081496e-05,3.9404821
42,C1,0.047274657,0.11646007,4.8219783e-05,3.4439855
43,CP6,0.045729384,0.12123299,4.9779268e-05,3.6347923
44,FC1,0.045688014,0.11811107,5.6147503e-05,3.4582279
45,PO4,0.045434777,0.112000935,4.7993002e-05,3.6194427
46,F7,0.04474943,0.10312713,6.0872066e-05,3.1614783
47,CP1,0.044728667,0.117748514,4.6267378e-05,4.095682
48,AFZ,0.043589897,0.10923883,4.246568e-05,3.2567186
49,FC5,0.042925205,0.109901495,5.7244997e-05,3.4786577
50,POZ,0.042830113,0.10285554,3.9353705e-05,3.3065867
51,CPZ,0.042410187,0.09118335,4.990681e-05,2.3867793
52,F9,0.04238629,0.09595095,5.219173e-05,3.315379
53,PO8,0.04090351,0.098541126,4.950348e-05,3.4042733
54,FC4,0.03980232,0.09674293,5.122573e-05,3.2177625
55,FP1,0.038809426,0.08801465,5.429658e-05,2.612066
56,F6,0.03803295,0.081657805,4.574622e-05,2.408829
57,CP4,0.0358639,0.0714903,4.503945e-05,2.0429735
58,PO3,0.035431113,0.08590222,4.4134238e-05,2.8975265
59,T7,0.034741394,0.08247609,4.3511754e-05,2.7657654
60,F1,0.03370952,0.06909208,5.3991385e-05,2.5171955
