Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,FT8,0.10578434,0.31057322,7.7574085e-05,8.596423
2,C3,0.09947304,0.26686794,7.53785e-05,7.0887833
3,P2,0.098584585,0.2720885,7.8388555e-05,7.3654637
4,PZ,0.09698067,0.2508467,9.800635e-05,6.371297
5,PO7,0.09223655,0.24652724,4.4492743e-05,6.396394
6,P8,0.07000587,0.17694281,6.694818e-05,4.608347
7,FT7,0.06594609,0.18442197,7.512435e-05,4.9769354
8,OZ,0.064110555,0.16324982,5.717438e-05,4.27179
9,P3,0.06358323,0.1858116,6.296585e-05,5.070605
10,T10,0.059199665,0.14730331,5.244304e-05,3.9161835
11,C5,0.057409994,0.16252327,5.4126314e-05,4.494766
12,P5,0.053788636,0.14026736,5.735309e-05,3.5227783
13,AF3,0.047116816,0.12265381,5.5677032e-05,3.2955751
14,C2,0.044627786,0.11354039,5.2956435e-05,2.859662
15,AF7,0.04436216,0.1135426,3.5704532e-05,2.8688617
16,F5,0.042922594,0.09615661,4.2227945e-05,2.4903555
17,T8,0.04276627,0.11643638,5.1538715e-05,3.0076385
18,CP2,0.042251796,0.10304788,6.153564e-05,2.675439
19,CP5,0.040683907,0.098871656,5.4182154e-05,2.640819
20,F2,0.040331427,0.09611384,5.3083524e-05,2.4421113
21,AF4,0.03964811,0.08510071,5.5930737e-05,2.015291
22,AFZ,0.039603475,0.09869171,5.5547887e-05,2.365676
23,PO4,0.03954136,0.09662499,6.096671e-05,2.5562682
24,POZ,0.039003663,0.09674345,5.823379e-05,2.4831848
25,AF8,0.038773146,0.08913792,4.3116997e-05,2.1076348
26,T9,0.03794747,0.095579036,5.9786027e-05,2.3550625
27,FC2,0.037423257,0.09112156,4.9663813e-05,2.438312
28,P4,0.036799762,0.09141191,4.8947622e-05,2.463599
29,C1,0.036730323,0.09095412,6.382837e-05,2.3813803
30,F10,0.03669136,0.085276216,6.397918e-05,2.2002604
31,P6,0.036634136,0.085325904,3.7501824e-05,2.0830185
32,F7,0.036457464,0.086025804,6.2557585e-05,2.2752106
33,P7,0.036452297,0.089527234,4.6035108e-05,2.3550289
34,O2,0.036355205,0.0884493,5.228011e-05,2.4110808
35,C4,0.036188677,0.0801742,6.260291e-05,1.923611
36,F4,0.036077365,0.07541309,4.894955e-05,1.8733896
37,FC3,0.03603067,0.094085716,5.7742553e-05,2.4937246
38,F3,0.03534198,0.08152985,6.488625e-05,1.9870199
39,O1,0.034657445,0.08607689,5.3382097e-05,2.297363
40,FZ,0.034609757,0.08393893,4.779446e-05,2.1857972
41,C6,0.034506388,0.07935319,5.6715067e-05,1.9246669
42,FP2,0.03334016,0.07385765,5.2745272e-05,1.8429824
43,FC4,0.03329919,0.072487056,3.5982706e-05,1.7186913
44,P1,0.032702643,0.07002485,4.42516e-05,1.5771513
45,FC6,0.032618232,0.07031608,4.2441236e-05,1.628615
46,CP3,0.032416534,0.0827249,5.718117e-05,2.2237206
47,FC1,0.03187705,0.076725505,4.562074e-05,1.9951146
48,F8,0.031765655,0.07491676,4.7156205e-05,1.9309639
49,CP6,0.030052116,0.06795645,3.3660024e-05,1.6806518
50,F1,0.029830256,0.06423144,5.398754e-05,1.645903
51,PO8,0.029020295,0.06572775,4.3667478e-05,1.5892084
52,CPZ,0.02874078,0.06635519,4.8776325e-05,1.6421664
53,CP1,0.028193416,0.062055387,5.8109643e-05,1.5282806
54,F9,0.026649766,0.051718384,5.0307568e-05,1.2044072
55,FP1,0.026561987,0.054640055,5.6362598e-05,1.2011868
56,T7,0.025658378,0.05537571,6.247177e-05,1.3889718
57,CP4,0.025504032,0.051852807,5.79392e-05,1.215082
58,F6,0.025426071,0.05010962,4.3295266e-05,1.1344312
59,PO3,0.023740517,0.05057173,5.0348106e-05,1.3018357
60,FC5,0.023540374,0.043459576,4.4354685e-05,0.94626415
