Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,AF8,0.8098581,19.453007,0.0007038366,6601.2573
2,C2,0.71236455,13.139855,0.00033804268,2290.8735
3,FZ,0.6592313,28.573236,0.00033498163,10641.882
4,F8,0.6448427,56.036495,0.00054568436,30845.35
5,F5,0.63625497,53.032063,0.0004639496,27323.67
6,C1,0.63098717,28.49591,0.0005369477,12463.91
7,CP1,0.6210033,24.48082,0.000561322,8060.861
8,T10,0.5777425,18.016834,0.00018981939,7241.202
9,F9,0.5756131,37.11968,0.00047917376,15343.922
10,C6,0.57318425,14.677849,0.00041469734,5032.8916
11,F3,0.5691467,21.755217,0.00044912467,8900.776
12,T7,0.56884336,12.874619,0.00035202262,3070.4185
13,AF7,0.5577504,13.852558,0.0002809007,5579.2075
14,FC3,0.5288867,26.522367,0.0003867838,12368.382
15,P6,0.5213056,14.421506,0.000529317,4149.38
16,PZ,0.5154628,16.552261,0.00045120777,5410.0435
17,P2,0.5046264,13.510527,0.00051144545,2731.5444
18,P3,0.50269186,18.992117,0.00031113328,5813.5845
19,F1,0.49724415,15.844998,0.0006765272,6660.0723
20,FP2,0.48973453,17.77374,0.0004984711,6576.2744
21,FT7,0.4867261,24.131088,0.00049813266,9249.606
22,FC6,0.48082992,12.790759,0.0003782635,3535.0005
23,F4,0.4677932,13.72183,0.00032687,3499.105
24,PO4,0.45287767,13.467525,0.00047942167,4513.9907
25,F7,0.44826427,11.497304,0.0003674779,4036.0398
26,PO7,0.44718444,9.770053,0.0005257795,1899.4796
27,CPZ,0.44215706,17.969433,0.0006518394,6201.4287
28,P7,0.4296454,19.102135,0.0004856259,7544.5913
29,CP2,0.4160664,9.943498,0.0004060999,2902.721
30,F2,0.41170374,9.737292,0.00041621542,2585.313
31,P5,0.39834285,17.800632,0.00027621276,7489.1562
32,F6,0.3971607,14.794314,0.00043868675,5446.121
33,PO8,0.39711896,9.972292,0.0002980831,3078.536
34,OZ,0.39237598,7.9426546,0.0005945345,1598.2283
35,C5,0.3858438,9.586099,0.00048692146,2870.8625
36,P8,0.38443127,8.685472,0.00054968003,2218.029
37,P1,0.38410303,13.650986,0.00035300653,5691.094
38,AF4,0.38354465,12.33734,0.00036072655,4362.9385
39,P4,0.3749379,28.349665,0.00041142892,11858.569
40,C3,0.3737806,6.955037,0.0005199066,1375.119
41,FP1,0.37172797,12.529084,0.00030295207,4295.304
42,CP6,0.37132856,19.212793,0.00040974547,9562.545
43,FC4,0.3582959,10.28687,0.0005213605,2492.8196
44,CP4,0.35192606,8.186135,0.00040876452,1971.9556
45,T9,0.34029984,12.293661,0.00023076007,5439.17
46,FT8,0.330911,7.9735003,0.00042460946,1712.8646
47,PO3,0.32001168,10.739309,0.00033765277,4149.5127
48,CP5,0.31544593,7.432044,0.0004274747,1354.7528
49,O1,0.29657337,7.6806927,0.0003913667,3189.0586
50,POZ,0.28075254,7.0380125,0.00023858369,1774.4688
51,FC1,0.2734355,11.625489,0.0002423447,5209.9165
52,F10,0.25818908,5.703951,0.00024435017,1741.5571
53,FC2,0.25226578,8.263952,0.00031314237,2218.7139
54,AF3,0.24902543,5.507502,0.00030194235,1154.6497
55,FC5,0.24682873,6.6589103,0.00038482307,2549.5999
56,CP3,0.2419578,4.5890136,0.0003380069,972.91046
57,AFZ,0.23205109,5.5109825,0.0003434854,1203.8004
58,C4,0.21325302,4.3172407,0.00025923084,1078.6185
59,O2,0.20235546,3.7255735,0.00028216175,695.274
60,T8,0.19367339,4.3615065,0.00021230038,1490.3353
