Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,AF8,0.54343987,11.602506,0.00057561055,1859.0437
2,C2,0.48260006,11.813368,0.00028514076,2984.8562
3,AF7,0.39614466,7.790549,0.00025562022,1595.0547
4,T7,0.3938437,6.1421895,0.00045680054,1045.7832
5,C1,0.37261212,8.434639,0.00020620886,1636.0587
6,F8,0.37224597,8.820683,0.00029434983,1594.0287
7,F1,0.36159974,5.6928225,0.00037368704,1140.8755
8,PZ,0.33787113,6.141875,0.00030613158,1254.4387
9,F7,0.3371989,5.7632594,0.00029071537,1502.3384
10,CP1,0.33457828,5.5461354,0.0005224258,963.5093
11,T10,0.33416995,5.6999464,0.00054990716,1337.2931
12,F9,0.32895616,5.5116134,0.00041975355,1523.2433
13,PO7,0.32340226,6.859384,0.0004699526,1484.6783
14,OZ,0.31664246,6.006226,0.0003405571,1082.0421
15,FZ,0.30942,6.1261706,0.00032507227,1580.0343
16,P2,0.29107517,4.2326155,0.0005685633,705.12506
17,P5,0.28811437,5.3101974,0.00030788613,805.68146
18,P3,0.28655478,5.000399,0.0003018021,1122.9104
19,F4,0.28583652,5.0630393,0.00019121409,845.8955
20,FT7,0.2798825,4.995724,0.00035868044,1076.7128
21,FP2,0.2738585,4.2515187,0.00020740583,857.07477
22,P6,0.2722698,4.878055,0.00020917988,798.52527
23,FC4,0.27160293,4.840484,0.00029091406,909.95685
24,FC6,0.2709842,4.1746607,0.00018693121,635.7824
25,CPZ,0.2700919,4.996752,0.0002227791,689.06366
26,AF4,0.2685554,3.9748468,0.00019690636,837.8535
27,P8,0.25836906,4.7715435,0.0005354582,1035.7037
28,FP1,0.25584188,5.430689,0.00036048325,1141.8728
29,C3,0.25449017,4.8941216,0.00030685426,1474.0398
30,FC3,0.25398636,5.865143,0.00015734743,2091.0498
31,F3,0.25229958,4.800804,0.00019535964,685.005
32,C6,0.24298324,5.036136,0.00022383865,997.78796
33,CP2,0.24163048,6.0226603,0.00011598589,1481.9595
34,F2,0.23805447,4.2670536,0.00022395144,1031.0469
35,F5,0.22434492,2.9451234,0.00021862373,386.22
36,CP4,0.22324805,3.359105,0.0001795884,542.70306
37,CP5,0.21675122,3.8983412,0.00020954658,760.2841
38,CP3,0.197469,6.236061,0.00013175856,2337.3909
39,F10,0.19246548,4.006278,0.0002473777,1211.0714
40,CP6,0.18805921,4.5612044,0.00014467699,1052.7651
41,PO8,0.17724608,2.9009752,0.000267767,509.78268
42,O1,0.16025604,3.098443,0.00014334406,574.82184
43,AFZ,0.15494403,2.6608152,0.00015557311,614.0955
44,PO4,0.1477631,3.359172,0.00011927589,826.5558
45,F6,0.14756583,3.643859,0.0002631068,1069.7739
46,P7,0.14576137,1.9300306,0.00016782549,290.2963
47,FT8,0.14546195,2.0770187,0.00025192738,350.22644
48,FC5,0.14151582,2.2870736,0.00017284356,414.3104
49,FC2,0.13977411,1.93835,0.00018485074,313.8842
50,C5,0.13928998,2.1742108,0.00011152957,441.5539
51,FC1,0.13413928,1.8383032,0.00019773496,235.34476
52,T9,0.13332713,2.5276542,0.00015412073,596.933
53,PO3,0.13317667,1.9072046,0.00019745104,400.55508
54,P1,0.12448138,2.008668,9.892361e-05,369.6676
55,T8,0.12194036,2.0390823,0.0001791878,349.0493
56,AF3,0.11891256,1.940411,0.00019528877,434.55045
57,C4,0.1124752,2.0006664,7.7429766e-05,484.58615
58,P4,0.09682613,1.4379567,0.00015876952,350.29575
59,POZ,0.09484226,1.7826344,0.000167923,341.31952
60,O2,0.086418375,1.4625441,0.00021653406,281.8819
