Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,AF8,0.21622536,8.060109,0.00063325383,715.3217
2,FT7,0.17799696,13.069024,0.0008946507,1781.6588
3,FP2,0.17781569,12.2430315,0.0006344522,1659.9536
4,CP2,0.14677498,10.010425,0.00071466214,1358.9451
5,T10,0.1434675,5.135037,0.0007322895,673.29913
6,FZ,0.140275,6.5447617,0.0006015942,875.312
7,FP1,0.13895419,8.656548,0.00047681268,1172.8099
8,P6,0.13385977,3.8044765,0.00048803125,481.42737
9,P2,0.13252778,6.708689,0.00051079487,893.95215
10,AF7,0.129856,4.302982,0.00047616,411.72046
11,FC6,0.12886891,6.3668284,0.000563489,836.4089
12,T7,0.12843424,1.9944367,0.00063875,205.19484
13,PO7,0.12145499,3.7107368,0.00065419934,433.60733
14,F9,0.11834785,2.6523826,0.0005790059,263.05313
15,C1,0.113522425,3.6839042,0.00060824945,479.59464
16,C2,0.11119587,2.143288,0.00076736975,237.00116
17,F8,0.10652139,1.812518,0.0007506378,222.22821
18,F1,0.10625908,1.4646114,0.00060503103,150.116
19,CP1,0.10616635,1.9369453,0.0004922106,212.18578
20,F4,0.10575337,3.1168244,0.0004928144,276.3046
21,F7,0.09488966,1.8222638,0.00048845686,193.54109
22,PZ,0.09418865,1.946625,0.0006230118,226.80302
23,P3,0.093479335,3.4234796,0.00045739306,444.06223
24,F3,0.09317027,2.7220225,0.0005127862,341.9869
25,CPZ,0.090680495,1.3913229,0.0005563938,122.720406
26,C5,0.08487586,2.4683862,0.00060227246,309.74982
27,FC3,0.08478119,2.7866101,0.00048369946,363.88586
28,OZ,0.08474319,1.8636037,0.0003632471,219.58667
29,C6,0.08457947,2.734042,0.0005008633,277.22546
30,PO4,0.08344465,2.2623606,0.0004874203,272.08084
31,P8,0.0826957,2.1472218,0.00056761666,279.38748
32,FC2,0.08171376,4.22166,0.00037266052,573.37787
33,F2,0.079464376,1.7048922,0.00043540215,163.33437
34,AF4,0.07944296,3.3830593,0.0004642014,456.17474
35,AF3,0.07858047,2.108462,0.0005952249,222.71878
36,C3,0.07547704,1.2589433,0.000529346,145.36124
37,FC5,0.07527727,3.2349992,0.00058894185,429.48618
38,CP5,0.074873775,2.087949,0.0005947165,214.40529
39,P5,0.06995629,1.3558856,0.00040424842,128.68114
40,T9,0.069720246,3.4434118,0.00033324093,466.29703
41,FC4,0.06718836,1.4398795,0.0007503341,176.47255
42,F6,0.06698953,3.1564286,0.00041210811,428.0599
43,FT8,0.06593502,2.056779,0.0005145011,272.23782
44,C4,0.06547512,1.6027464,0.00038687064,153.2503
45,AFZ,0.06355205,2.6865268,0.0004630479,362.39572
46,CP3,0.06316628,2.1186168,0.00055168726,284.23862
47,PO3,0.061931916,1.0228215,0.0003276891,119.366035
48,F5,0.061397336,1.4605051,0.0005788449,184.22252
49,F10,0.060991127,1.1785351,0.00061598193,110.89939
50,CP4,0.060288556,1.4517035,0.00041595002,168.98705
51,P7,0.058590613,1.2459729,0.0004241941,149.68365
52,P1,0.057482935,1.0782562,0.00034407512,89.79328
53,T8,0.056797475,0.79352415,0.00066272606,94.21254
54,PO8,0.05456218,0.71246105,0.000577994,72.19533
55,P4,0.05275957,1.0324092,0.0003439159,114.117256
56,POZ,0.05251121,1.954624,0.0002881508,213.49156
57,CP6,0.05140196,1.0592918,0.00042164198,120.13654
58,O1,0.04941696,0.8894351,0.00040543082,97.95156
59,O2,0.046604004,1.0291731,0.00039364252,120.9526
60,FC1,0.044005483,0.96501213,0.0005086015,121.23225
