Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,C2,0.9574521,17.425898,0.00035298525,3447.5369
2,AF8,0.8435707,14.656049,0.00040306992,4882.4453
3,T7,0.7721058,12.599398,0.00032932378,2767.0188
4,CP1,0.72582775,36.15734,0.00030409757,13739.297
5,C6,0.7027074,15.353507,0.00052713323,3683.5593
6,F7,0.6913682,15.578099,0.00032925743,3950.2537
7,CP6,0.6867318,50.69882,0.00031797285,25405.053
8,AF7,0.66617703,16.354334,0.00013632247,3574.9324
9,FZ,0.59664714,9.302331,0.00045326963,1895.3546
10,P8,0.5921378,19.590576,0.00031361863,5140.723
11,C1,0.58978915,9.568288,0.00030523492,2076.0781
12,T10,0.5865524,6.873866,0.00063249026,1344.3093
13,F1,0.5830238,11.10984,0.00046407958,3597.9312
14,FP2,0.5692643,22.78474,0.00036416808,8771.515
15,FC3,0.52794164,9.476693,0.0002948641,2036.819
16,F5,0.52775806,19.62501,0.00040864007,7654.0737
17,F3,0.5269519,8.028814,0.00031023676,1345.8582
18,CP5,0.52504027,13.328674,0.00025478503,3493.1323
19,FT7,0.52302825,8.067886,0.00041464454,1331.0203
20,F4,0.52099216,9.234351,0.00020636422,2647.9355
21,F8,0.51248944,9.042278,0.0004132465,2241.606
22,PZ,0.5095685,9.227388,0.0006006835,1836.888
23,FC6,0.50943106,16.399952,0.00047924495,6935.8247
24,P6,0.49298215,10.903888,0.000335139,2906.402
25,FP1,0.4850888,11.842463,0.00045066242,3968.4258
26,P2,0.4844931,8.281027,0.00038880244,1766.596
27,CPZ,0.4795135,9.155681,0.00043268478,2013.3562
28,PO7,0.47892597,7.3885474,0.00026974027,1250.5271
29,F2,0.4715237,8.119446,0.00044747835,2823.0225
30,CP4,0.46568465,11.391912,0.00024017924,2841.2378
31,F9,0.45736393,6.6925545,0.00037763573,1786.5247
32,P3,0.44860575,8.655455,0.00022763743,2149.2415
33,CP2,0.44033468,9.393591,0.000422203,2410.8296
34,C5,0.42725164,11.411467,0.00024047942,2238.5222
35,FC4,0.423053,5.9272623,0.00028932194,1171.4796
36,C3,0.42257196,8.09113,0.00029219472,1652.2988
37,OZ,0.4017792,6.0649233,0.00047816982,1061.0995
38,T9,0.3572941,6.700405,0.00017500989,1961.5399
39,AF4,0.35666794,6.631864,0.00034942676,1994.5199
40,F10,0.34499675,6.8940187,0.00032410986,1752.4447
41,CP3,0.33713877,5.981328,0.00027304026,1478.604
42,FT8,0.30944678,4.443115,0.00032294868,845.0608
43,F6,0.2999411,7.479596,0.00028429512,3440.7395
44,P5,0.29175556,5.189111,0.0003259893,957.47894
45,AFZ,0.28572902,4.356767,0.00033979057,644.4909
46,PO4,0.2722252,4.5896606,0.00030090517,1090.6936
47,FC2,0.27139157,4.32169,0.00028796738,758.4381
48,P1,0.2603301,4.39192,0.00031110537,755.7082
49,AF3,0.2572956,4.21069,0.00026889524,1284.2355
50,PO3,0.2566887,6.8300304,0.00027698753,2529.2053
51,FC1,0.25309393,4.112374,0.00015529837,1114.8195
52,O1,0.24876708,4.344258,0.000340695,902.3201
53,P4,0.2455046,4.9549513,0.00021687686,1437.7856
54,P7,0.23815125,3.7623096,0.0003554375,1197.875
55,FC5,0.23512727,3.2503872,0.00026862376,560.88275
56,PO8,0.22935395,5.516129,0.0002833712,1665.2198
57,O2,0.21615522,5.8140564,0.00030602646,2021.1246
58,C4,0.20909144,3.0682952,0.0003007475,536.9229
59,T8,0.2080345,2.535341,0.00022992147,512.8764
60,POZ,0.17544568,3.1999767,0.0002961361,811.494
