Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,AF8,0.4150143,6.490058,0.00031770568,1481.2831
2,CP1,0.3611301,4.124427,0.00059233594,634.883
3,T7,0.36053756,7.248059,0.0005238443,2035.0007
4,T10,0.34186637,3.9968855,0.00060797756,535.72986
5,FZ,0.32707942,4.590336,0.00036242604,897.14905
6,PO7,0.32531238,4.0652742,0.00048798122,727.7284
7,C2,0.32196397,3.3197556,0.0003806131,498.0632
8,F1,0.31831253,3.0706785,0.00041250716,500.48328
9,F4,0.31591395,3.5660295,0.0003758367,555.75134
10,F7,0.3117549,5.241672,0.0002768251,1151.9506
11,C1,0.3047419,4.318973,0.00046381468,819.00726
12,OZ,0.28304842,3.216773,0.0004381471,491.41168
13,F8,0.28279,2.9848158,0.00057203165,705.40405
14,F3,0.27984273,3.026307,0.0003584662,406.33484
15,PZ,0.27458048,3.0935729,0.00047318952,742.46136
16,FT7,0.27387893,3.179311,0.0005146918,387.1485
17,FP1,0.2623844,3.5048647,0.00053255,787.2252
18,F9,0.26058263,2.444608,0.00047992365,374.23645
19,AF7,0.23352177,2.9757013,0.0002779928,523.8788
20,P2,0.23266707,2.5321321,0.00043768002,392.62054
21,C3,0.22308311,2.109076,0.00027522308,378.87378
22,C6,0.22169665,3.2333004,0.00043709195,777.34106
23,AFZ,0.21919782,4.253105,0.00040227614,1314.8153
24,CPZ,0.2139203,2.4792747,0.00033191437,368.43625
25,P6,0.20799124,2.588539,0.00032998621,484.82928
26,FC6,0.2028816,2.0613363,0.00027211927,287.27844
27,P8,0.20077491,1.8381748,0.0005165651,188.1004
28,F10,0.1958821,2.241402,0.0004468477,384.7725
29,FP2,0.19440821,7.021802,0.00032836603,2975.8325
30,CP2,0.18644723,2.2261343,0.0005366465,375.69757
31,F6,0.18499994,1.9382334,0.0003967104,295.56787
32,FC3,0.18481882,2.4627774,0.00026524445,631.61884
33,F2,0.18447113,2.432368,0.00037320523,740.3098
34,CP5,0.17658329,2.6126146,0.00028146582,488.1589
35,PO8,0.17606317,2.044361,0.0002479575,474.85443
36,FC1,0.16859612,2.293125,0.00023923622,383.93625
37,F5,0.16838056,1.6974018,0.00029456682,360.7057
38,P5,0.1573504,1.4024972,0.00023207907,192.10521
39,CP6,0.15594168,1.93442,0.00018398982,403.39975
40,FC4,0.15438926,1.6428733,0.00031030955,209.96144
41,AF4,0.14655463,2.9243422,0.00025575215,1113.2609
42,P3,0.14518262,1.4258142,0.0002467466,235.28035
43,O1,0.14451945,1.9384029,0.00026665415,457.41873
44,FT8,0.1407372,1.4258016,0.0003939266,226.30113
45,C5,0.14059268,1.683438,0.00030787635,266.8051
46,PO4,0.13083233,1.3141093,0.0002704489,237.86014
47,CP3,0.13007896,1.3366444,0.00019222638,220.37335
48,O2,0.12474322,1.4153637,0.00034468048,191.00569
49,FC2,0.12313456,1.2710073,0.00024646806,204.80847
50,CP4,0.12190093,1.1614205,0.00017032356,187.65349
51,AF3,0.110796966,1.6512339,0.00014926933,600.38226
52,FC5,0.11013179,1.2366068,0.0002122753,196.43742
53,C4,0.10806657,1.2910833,0.00029863344,253.58797
54,PO3,0.10255784,1.063117,0.00017904304,165.4516
55,P7,0.09709277,0.981673,0.00021614741,204.25671
56,T9,0.09626037,0.9200599,0.00023528903,132.1659
57,P1,0.09387227,0.89718044,0.0001979097,148.80595
58,POZ,0.09283229,1.0164633,0.0002563837,129.67125
59,T8,0.09263539,0.9202197,0.0002766147,193.1987
60,P4,0.08818883,0.8308495,0.00017214991,97.61754
