Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,AF8,0.12514177,3.3891828,0.00049660954,432.59586
2,T7,0.10715209,0.88820344,0.000912272,85.03099
3,P6,0.100464605,1.2216086,0.0006159662,132.13309
4,F8,0.097210385,0.9477029,0.0009584885,89.672066
5,F9,0.096329845,1.5586069,0.00072096754,142.64845
6,C2,0.09272709,1.3920641,0.0006312898,173.97784
7,T10,0.09161527,0.7984518,0.0005461089,81.61285
8,AF7,0.09093348,1.8667469,0.0005831944,205.31432
9,F1,0.08935924,0.62372065,0.0006741988,47.494175
10,PO7,0.089287415,1.5292113,0.00040132165,147.62115
11,CPZ,0.087853596,2.3694134,0.0007804383,311.62805
12,F4,0.086087316,1.6833644,0.0005145656,203.93143
13,FC6,0.08548587,1.8262572,0.0005270604,211.19019
14,CP1,0.08476172,0.67477286,0.00054696447,62.307556
15,C1,0.08352793,1.6017503,0.00041275844,197.06287
16,FZ,0.07536312,0.6132214,0.00073111773,49.555515
17,OZ,0.07434262,1.0922554,0.00047791936,133.87175
18,C6,0.07422343,3.0236213,0.00046713054,404.95218
19,P2,0.07248985,0.6608625,0.0006553656,74.29302
20,FT7,0.072226115,0.75859845,0.00094503595,58.99574
21,F7,0.07176927,1.021394,0.00053994433,115.32236
22,PZ,0.07034149,0.68469775,0.00041660923,58.789207
23,P8,0.07018703,0.7111103,0.0007810234,82.68213
24,FP1,0.06640268,1.3619431,0.00043328493,168.74905
25,FP2,0.06540408,0.56800145,0.00062759896,54.207657
26,PO4,0.064567186,1.1077033,0.0008788221,122.053406
27,F3,0.063424446,0.58666235,0.00051881175,49.299763
28,FC3,0.061435588,0.70780134,0.00036391994,69.953705
29,C3,0.061416157,0.38114327,0.0005055985,30.319899
30,F2,0.059924673,0.43172696,0.0006692932,43.74122
31,P3,0.058155503,0.48282403,0.0005917962,44.708103
32,P5,0.057306677,0.6482943,0.00039593555,64.116
33,PO3,0.05488002,0.6979662,0.00051366445,77.23718
34,C5,0.05458812,0.63694054,0.00059502025,68.39591
35,CP2,0.05402089,0.57692856,0.0005632165,43.625225
36,FC4,0.05387823,0.52078885,0.00067561044,46.702427
37,F10,0.05273159,1.2155172,0.0005722414,143.34836
38,CP5,0.051017854,0.7927017,0.0005622055,90.744415
39,FC2,0.05059903,0.54109377,0.00031178916,41.690247
40,AF4,0.04962358,0.48928666,0.00039288684,39.781265
41,F5,0.0479037,0.3576459,0.00048786486,33.890144
42,AF3,0.047508195,0.42411307,0.00033789116,35.307816
43,C4,0.04726182,0.37149063,0.00033960372,30.658295
44,T9,0.046511486,0.8372628,0.00025082057,104.98693
45,T8,0.045071978,0.49406186,0.00045382656,57.58406
46,FT8,0.04504364,0.42092943,0.0005456069,41.505566
47,P7,0.044266958,0.48193988,0.00046675553,48.839355
48,CP4,0.04400457,0.38367468,0.0004393283,42.56692
49,AFZ,0.0436398,0.49281868,0.00047876145,53.01291
50,P1,0.042957462,0.4968855,0.00032878737,52.139874
51,CP3,0.042930808,0.44817245,0.00049230416,50.31537
52,P4,0.042916976,0.4057669,0.00054525555,29.713829
53,FC5,0.04107574,0.41173476,0.00047445818,41.407097
54,PO8,0.040756743,0.33792892,0.00032035678,34.617397
55,F6,0.038827725,0.3673261,0.00042915443,40.432545
56,CP6,0.038720492,0.36450505,0.00033866699,37.337196
57,O1,0.03721616,0.37488493,0.00044617316,41.94953
58,FC1,0.037128225,0.3262772,0.00042792776,27.03026
59,O2,0.034163903,0.36897093,0.0003655456,41.164227
60,POZ,0.02963372,0.5664858,0.00037572824,66.41638
