task,segment,model_family,model_variant,total_parameters,parameters_source,gpu_model,num_gpus,hardware_source,inference_s_per_batch_test,inference_s_per_batch_active,inference_s_per_batch_passive,inference_ms_per_sample_test,inference_ms_per_sample_active,inference_ms_per_sample_passive,eval_batch_size,eval_total_time_s,test_num_samples,inference_source,log_source
age_classification,1s,CNN,eeg_cnn,593522,computed from CNN model architecture (not logged in final_logs),NVIDIA L40S,4,final_logs/CNN/CNN_1s/cnn_1s.log,,,,0.6414040033476596,1.8745215007414773,1.8745215007414773,512,1199.47,476751,training log Evaluation time lines + sample counts from experiment_summary.json,final_logs/CNN/CNN_1s/cnn_1s.log
age_classification,2s,CNN,eeg_cnn,593522,computed from CNN model architecture (not logged in final_logs),NVIDIA L40S,4,final_logs/CNN/CNN_2s/cnn_2s.log,,,,0.7149478853477651,1.6240312019776841,1.6240312019776844,192,560.12,239472,training log Evaluation time lines + sample counts from experiment_summary.json,final_logs/CNN/CNN_2s/cnn_2s.log
age_classification,4s,CNN,eeg_cnn,593522,computed from CNN model architecture (not logged in final_logs),NVIDIA L40S,4,final_logs/CNN/CNN_4s/cnn_4s.log,,,,0.8763443665173547,1.7448628988380501,1.7448628988380501,128,351.69,134171,training log Evaluation time lines + sample counts from experiment_summary.json,final_logs/CNN/CNN_4s/cnn_4s.log
age_classification,1s,LaBraM,age,5825339,final_logs/LaBraM/labram_age_1s/train3.log,NVIDIA L40S,2,final_logs/LaBraM/labram_age_1s/train3.log,1.3121,0.0732,0.0662,,,,,,,final eval block: '<Phase> Test: Total time: ... (X s / it)',final_logs/LaBraM/labram_age_1s/train3.log
age_classification,2s,LaBraM,age,5825339,final_logs/LaBraM/labram_age_2s/train.log,NVIDIA L40S,4,final_logs/LaBraM/labram_age_2s/train.log,0.2734,0.2092,0.1936,,,,,,,final eval block: '<Phase> Test: Total time: ... (X s / it)',final_logs/LaBraM/labram_age_2s/train.log
age_classification,4s,LaBraM,age,5825339,final_logs/LaBraM/labram_age_4s/train.log,NVIDIA L40S,4,final_logs/LaBraM/labram_age_4s/train.log,0.267,0.2229,0.1994,,,,,,,final eval block: '<Phase> Test: Total time: ... (X s / it)',final_logs/LaBraM/labram_age_4s/train.log
age_classification,1s,ResNet,resnet18,3946007,computed from saved ResNet checkpoint (not logged in final_logs),NVIDIA L40S,4,final_logs/RESNET/RESNET18_age_1s/resnet18_age_1s.log,,,,0.5593695660837629,1.4452617823559886,1.4452617823559886,,955.71,476751,training log Evaluation time lines + sample counts from experiment_summary.json,final_logs/RESNET/RESNET18_age_1s/resnet18_age_1s.log
age_classification,2s,ResNet,resnet18,3946007,computed from saved ResNet checkpoint (not logged in final_logs),NVIDIA L40S,4,final_logs/RESNET/RESNET18_age_2s/resnet18_age_2s.log,,,,0.6939433420191087,1.5800177056190285,1.5800177056190283,,544.55,239472,training log Evaluation time lines + sample counts from experiment_summary.json,final_logs/RESNET/RESNET18_age_2s/resnet18_age_2s.log
age_classification,4s,ResNet,resnet18,3946007,computed from saved ResNet checkpoint (not logged in final_logs),NVIDIA L40S,4,final_logs/RESNET/RESNET18_age_4s/resnet18_age_4s.log,,,,0.8305818694054602,1.837729464638409,1.8377294646384092,,358.01,134171,training log Evaluation time lines + sample counts from experiment_summary.json,final_logs/RESNET/RESNET18_age_4s/resnet18_age_4s.log
age_classification,1s,ResNet,resnet34,7327783,computed from saved ResNet checkpoint (not logged in final_logs),NVIDIA L40S,4,final_logs/RESNET/RESNET34_age_1s/resnet34_age_1s.log,,,,0.544728799729838,1.3779729879958302,1.37797298799583,,916.65,476751,training log Evaluation time lines + sample counts from experiment_summary.json,final_logs/RESNET/RESNET34_age_1s/resnet34_age_1s.log
