source_summary_path,source_dir,experiment_name,model_type,target_type,task_kind,success,description,total_time_s,training_time_s,evaluation_time_s,accuracy,f1_weighted,roc_auc,active_accuracy,passive_accuracy,mae,rmse,r2,active_mae,passive_mae,active_rmse,passive_rmse,active_r2,passive_r2,checkpoint_path,error,experiment_report_html,experiment_results_csv
final_logs_majority/CNN/cnn_eval_1s/experiment_summary.json,final_logs_majority/CNN/cnn_eval_1s,age_classification_1s,age_cnn,age,classification,True,"Age classification baseline with 1s segments (train on both, evaluate separately)",1188.322746515274,0.0,1188.322746515274,0.5572033898305084,0.42363847883418954,0.8435589208292718,0.5416666666666666,0.5520169851380042,,,,,,,,,,final_logs/checkpoints/age_classification_1s_best.pth,,final_logs_majority/CNN/cnn_eval_1s/reports/experiment_report.html,final_logs_majority/CNN/cnn_eval_1s/reports/experiment_results.csv
final_logs_majority/CNN/cnn_eval_2s/experiment_summary.json,final_logs_majority/CNN/cnn_eval_2s,age_classification_2s,age_cnn,age,classification,True,"Age classification baseline with 2s segments (train on both, evaluate separately)",759.3851320743561,0.0,759.3851320743561,0.5508474576271186,0.4192924806183608,0.8547045403171372,0.5444444444444444,0.5520169851380042,,,,,,,,,,final_logs/checkpoints/age_classification_2s_best.pth,,final_logs_majority/CNN/cnn_eval_2s/reports/experiment_report.html,final_logs_majority/CNN/cnn_eval_2s/reports/experiment_results.csv
final_logs_majority/CNN/cnn_eval_4s/experiment_summary.json,final_logs_majority/CNN/cnn_eval_4s,age_classification_4s,age_cnn,age,classification,True,"Age classification baseline with 4s segments (train on both, evaluate separately)",556.7947313785553,0.0,556.7947313785553,0.5635593220338984,0.43514408029136453,0.8631394039684452,0.5527777777777778,0.5626326963906582,,,,,,,,,,final_logs/checkpoints/age_classification_4s_best.pth,,final_logs_majority/CNN/cnn_eval_4s/reports/experiment_report.html,final_logs_majority/CNN/cnn_eval_4s/reports/experiment_results.csv
final_logs_majority/experiment_summary.json,final_logs_majority,age_resnet18_1s,age_resnet,age,classification,True,"ResNet18 age classification with 1s segments (train on both, evaluate separately on active and passive)",1118.3929407596588,0.0,1118.3929407596588,0.5317796610169492,0.40410262696414045,,0.5277777777777778,0.5307855626326964,,,,,,,,,,final_logs/checkpoints/age_resnet18_1s_best.pth,,,
final_logs_majority/RESNET/age_resnet18_2s/reports/experiment_results.csv,final_logs_majority/RESNET/age_resnet18_2s,age_resnet18_2s,age_resnet,age,classification,True,,576.0906264781952,576.0906264781952,576.0906264781952,0.6038135593220338,0.5556822552731377,,0.5888888888888889,0.6157112526539278,,,,,,,,,,,,final_logs_majority/RESNET/age_resnet18_2s/reports/experiment_report.html,final_logs_majority/RESNET/age_resnet18_2s/reports/experiment_results.csv
final_logs_majority/RESNET/age_resnet18_4s/reports/experiment_results.csv,final_logs_majority/RESNET/age_resnet18_4s,age_resnet18_4s,age_resnet,age,classification,True,,346.3271963596344,346.3271963596344,346.3271963596344,0.5529661016949152,0.4297299735373982,,0.525,0.5520169851380042,,,,,,,,,,,,final_logs_majority/RESNET/age_resnet18_4s/reports/experiment_report.html,final_logs_majority/RESNET/age_resnet18_4s/reports/experiment_results.csv
final_logs_majority/RESNET/age_resnet34_1s/reports/experiment_results.csv,final_logs_majority/RESNET/age_resnet34_1s,age_resnet34_1s,age_resnet34,age,classification,True,,800.9402143955231,800.9402143955231,800.9402143955231,0.538135593220339,0.40994317283733833,,0.5305555555555556,0.5414012738853503,,,,,,,,,,,,final_logs_majority/RESNET/age_resnet34_1s/reports/experiment_report.html,final_logs_majority/RESNET/age_resnet34_1s/reports/experiment_results.csv
final_logs_majority/RESNET/age_resnet34_2s/reports/experiment_results.csv,final_logs_majority/RESNET/age_resnet34_2s,age_resnet34_2s,age_resnet34,age,classification,True,,656.8312728404999,656.8312728404999,656.8312728404999,0.5317796610169492,0.4029841553414191,,0.5277777777777778,0.5329087048832272,,,,,,,,,,,,final_logs_majority/RESNET/age_resnet34_2s/reports/experiment_report.html,final_logs_majority/RESNET/age_resnet34_2s/reports/experiment_results.csv
final_logs_majority/RESNET/age_resnet34_4s/reports/experiment_results.csv,final_logs_majority/RESNET/age_resnet34_4s,age_resnet34_4s,age_resnet34,age,classification,True,,436.020423412323,436.020423412323,436.020423412323,0.527542372881356,0.3982738965843586,,0.5166666666666667,0.5286624203821656,,,,,,,,,,,,final_logs_majority/RESNET/age_resnet34_4s/reports/experiment_report.html,final_logs_majority/RESNET/age_resnet34_4s/reports/experiment_results.csv
final_logs_majority/LaBraM/labram_age_1s/output.log,final_logs_majority/LaBraM/labram_age_1s,labram_age_1s,labram,age,classification,True,LaBraM (labram_age_1s) — participant majority vote from output.log,,,,0.678,,,,,,,,,,,,,,,,,
