source_summary_path,source_dir,experiment_name,model_type,target_type,task_kind,success,description,total_time_s,training_time_s,evaluation_time_s,accuracy,f1_weighted,roc_auc,active_accuracy,passive_accuracy,mae,rmse,r2,active_mae,passive_mae,active_rmse,passive_rmse,active_r2,passive_r2,checkpoint_path,error,experiment_report_html,experiment_results_csv
final_logs/CNN/CNN_1s/experiment_summary.json,final_logs/CNN/CNN_1s,age_classification_1s,age_cnn,age,classification,True,"Age classification baseline with 1s segments (train on both, evaluate separately)",23509.100257635117,22309.628737449646,1199.4714939594269,0.5209490908251897,0.4737797171125912,0.723114195048193,0.517843979012185,0.5201585993012209,,,,,,,,,,./final_logs2/checkpoints/age_classification_1s_best.pth,,final_logs/CNN/CNN_1s/experiment_report.html,final_logs/CNN/CNN_1s/experiment_results.csv
final_logs/CNN/CNN_2s/experiment_summary.json,final_logs/CNN/CNN_2s,age_classification_2s,age_cnn,age,classification,True,"Age classification baseline with 2s segments (train on both, evaluate separately)",19258.176260471344,18698.059997081757,560.1162376403809,0.5347514531970334,0.4809813577470168,0.7420278418269349,0.5333578959301667,0.5350706211922346,,,,,,,,,,./final_logs/checkpoints/age_classification_2s_best.pth,,final_logs/CNN/CNN_2s/experiment_report.html,final_logs/CNN/CNN_2s/experiment_results.csv
final_logs/CNN/CNN_4s/experiment_summary.json,final_logs/CNN/CNN_4s,age_classification_4s,age_cnn,age,classification,True,"Age classification baseline with 4s segments (train on both, evaluate separately)",17208.233402252197,16856.54567503929,351.6877076625824,0.545207235542703,0.49340951951317885,0.7531524320402194,0.5354432192467421,0.5459363021320944,,,,,,,,,,./final_logs/checkpoints/age_classification_4s_best.pth,,final_logs/CNN/CNN_4s/experiment_report.html,final_logs/CNN/CNN_4s/experiment_results.csv
final_logs/RESNET/RESNET18_age_1s/experiment_summary.json,final_logs/RESNET/RESNET18_age_1s,age_resnet18_1s,age_resnet,age,classification,True,"ResNet18 age classification with 1s segments (train on both, evaluate separately on active and passive)",14350.333694458008,13394.623440742493,955.7102425098419,0.4771715214021575,0.4168480860214513,0.6912710667584406,0.4772993365422141,0.47714737172692656,,,,,,,,,,./final_logs12/checkpoints/age_resnet18_1s_best.pth,,final_logs/RESNET/RESNET18_age_1s/experiment_report.html,final_logs/RESNET/RESNET18_age_1s/experiment_results.csv
final_logs/RESNET/RESNET18_age_2s/experiment_summary.json,final_logs/RESNET/RESNET18_age_2s,age_resnet18_2s,age_resnet,age,classification,True,"ResNet18 age classification with 2s segments (train on both, evaluate separately on active and passive)",17116.54079413414,16571.994904756546,544.5458781719208,0.5274478853477651,0.5096025022178226,0.7200415946779537,0.5310905792993992,0.5268184222383294,,,,,,,,,,./final_logs13/checkpoints/age_resnet18_2s_best.pth,,final_logs/RESNET/RESNET18_age_2s/experiment_report.html,final_logs/RESNET/RESNET18_age_2s/experiment_results.csv
final_logs/RESNET/RESNET18_age_42/experiment_summary.json,final_logs/RESNET/RESNET18_age_42,age_resnet18_4s,age_resnet,age,classification,True,"ResNet18 age classification with 4s segments (train on both, evaluate separately on active and passive)",13411.998657464981,13053.991846084595,358.00679993629456,0.5113325532343055,0.44663582384255845,0.728532352388649,0.4989736980285455,0.5136192612743107,,,,,,,,,,./final_logs14/checkpoints/age_resnet18_4s_best.pth,,final_logs/RESNET/RESNET18_age_42/experiment_report.html,final_logs/RESNET/RESNET18_age_42/experiment_results.csv
final_logs/RESNET/RESNET34_age_1s/experiment_summary.json,final_logs/RESNET/RESNET34_age_1s,age_resnet34_1s,age_resnet34,age,classification,True,"ResNet34 age classification with 1s segments (train on both, evaluate separately on active and passive)",19177.945927381516,18261.294780492783,916.6511337757111,0.4822202785101657,0.41600805296163074,0.6943346341625334,0.4787014150875215,0.48282249833156676,,,,,,,,,,./final_logs9/checkpoints/age_resnet34_1s_best.pth,,final_logs/RESNET/RESNET34_age_1s/experiment_report.html,final_logs/RESNET/RESNET34_age_1s/experiment_results.csv
final_logs/RESNET/RESNET34_age_2s/experiment_summary.json,final_logs/RESNET/RESNET34_age_2s,age_resnet34_2s,age_resnet34,age,classification,True,"ResNet34 age classification with 2s segments (train on both, evaluate separately on active and passive)",22535.26634144783,21995.73809194565,539.528237581253,0.5062345493418855,0.45561998582800606,0.718671198533779,0.5027491214148055,0.5068368366407429,,,,,,,,,,./final_logs10/checkpoints/age_resnet34_2s_best.pth,,final_logs/RESNET/RESNET34_age_2s/experiment_report.html,final_logs/RESNET/RESNET34_age_2s/experiment_results.csv
final_logs/RESNET/RESNET34_age_4s/experiment_summary.json,final_logs/RESNET/RESNET34_age_4s,age_resnet34_4s,age_resnet34,age,classification,True,"ResNet34 age classification with 4s segments (train on both, evaluate separately on active and passive)",9477.609109401703,9202.25854563713,275.35055708885193,0.4977081485566926,0.44420797753940855,0.718280022212834,0.49544130984772544,0.49812757237992616,,,,,,,,,,./final_logs11/checkpoints/age_resnet34_4s_best.pth,,final_logs/RESNET/RESNET34_age_4s/experiment_report.html,final_logs/RESNET/RESNET34_age_4s/experiment_results.csv
final_logs/RESNET/RESNET50_age_1s/experiment_summary.json,final_logs/RESNET/RESNET50_age_1s,age_resnet50_1s,age_resnet50,age,classification,True,"ResNet50 age classification with 1s segments (train on both, evaluate separately on active and passive)",29338.207634210587,28407.94453239441,930.2630906105042,0.48285792793303,0.4094034848125436,0.6933468658184552,0.47740051746816414,0.4837843010246143,,,,,,,,,,./final_logs8/checkpoints/age_resnet50_1s_best.pth,,final_logs/RESNET/RESNET50_age_1s/experiment_report.html,final_logs/RESNET/RESNET50_age_1s/experiment_results.csv
