segment,fold,split,rank,channel,mean_importance,std_importance,val_accuracy,test_accuracy
1s segments,fold_0,combined,1,C2,17.467173,221.5535,96.57327785483125,96.56248540787897
1s segments,fold_0,combined,2,T7,16.192509,230.30339,96.57327785483125,96.56248540787897
1s segments,fold_0,combined,3,AF8,15.802638,171.6986,96.57327785483125,96.56248540787897
1s segments,fold_0,combined,4,T10,15.381573,151.96404,96.57327785483125,96.56248540787897
1s segments,fold_0,combined,5,FZ,12.41906,195.73286,96.57327785483125,96.56248540787897
1s segments,fold_0,combined,6,F1,12.068488,102.955,96.57327785483125,96.56248540787897
1s segments,fold_0,combined,7,CP1,10.961215,150.01366,96.57327785483125,96.56248540787897
1s segments,fold_0,combined,8,C1,10.905454,92.00833,96.57327785483125,96.56248540787897
1s segments,fold_0,combined,9,C6,10.781034,165.46143,96.57327785483125,96.56248540787897
1s segments,fold_0,combined,10,AF7,10.660781,90.15414,96.57327785483125,96.56248540787897
1s segments,fold_0,active,1,T10,12.942348,165.82571,96.57327785483125,96.56248540787897
1s segments,fold_0,active,2,T7,12.348058,150.94655,96.57327785483125,96.56248540787897
1s segments,fold_0,active,3,F1,10.175795,76.95451,96.57327785483125,96.56248540787897
1s segments,fold_0,active,4,C2,9.324957,78.11287,96.57327785483125,96.56248540787897
1s segments,fold_0,active,5,AF8,9.0078,91.03799,96.57327785483125,96.56248540787897
1s segments,fold_0,active,6,CP1,8.568307,75.463684,96.57327785483125,96.56248540787897
1s segments,fold_0,active,7,P2,7.727799,72.58354,96.57327785483125,96.56248540787897
1s segments,fold_0,active,8,FZ,7.5478287,67.0603,96.57327785483125,96.56248540787897
1s segments,fold_0,active,9,PZ,7.01977,84.397675,96.57327785483125,96.56248540787897
1s segments,fold_0,active,10,FC6,6.9645123,69.88564,96.57327785483125,96.56248540787897
1s segments,fold_0,passive,1,C2,18.91962,238.13107,96.57327785483125,96.56248540787897
1s segments,fold_0,passive,2,AF8,17.015354,182.44855,96.57327785483125,96.56248540787897
1s segments,fold_0,passive,3,T7,16.879868,241.68716,96.57327785483125,96.56248540787897
