experiment,split,rank,channel,mean_importance,std_importance,csv_path
age_cnn_1s_best,combined (all),1,FC6,0.25424507,1.4700755,age_cnn_1s_best/channel_ranking_vanilla_gradients.csv
age_cnn_1s_best,combined (all),2,FC4,0.24757011,1.5480179,age_cnn_1s_best/channel_ranking_vanilla_gradients.csv
age_cnn_1s_best,combined (all),3,FT8,0.18740457,1.1472393,age_cnn_1s_best/channel_ranking_vanilla_gradients.csv
age_cnn_1s_best,combined (all),4,F9,0.1831895,1.1025817,age_cnn_1s_best/channel_ranking_vanilla_gradients.csv
age_cnn_1s_best,combined (all),5,PO4,0.18290764,1.0784775,age_cnn_1s_best/channel_ranking_vanilla_gradients.csv
age_cnn_1s_best,combined (all),6,CPZ,0.18156824,1.0573617,age_cnn_1s_best/channel_ranking_vanilla_gradients.csv
age_cnn_1s_best,combined (all),7,PZ,0.17643759,1.0898212,age_cnn_1s_best/channel_ranking_vanilla_gradients.csv
age_cnn_1s_best,combined (all),8,F7,0.17376776,1.0135546,age_cnn_1s_best/channel_ranking_vanilla_gradients.csv
age_cnn_1s_best,combined (all),9,P5,0.17108281,1.0178854,age_cnn_1s_best/channel_ranking_vanilla_gradients.csv
age_cnn_1s_best,combined (all),10,AF7,0.16230845,0.9832027,age_cnn_1s_best/channel_ranking_vanilla_gradients.csv
age_cnn_1s_best,active,1,FC6,0.21273956,1.2950866,age_cnn_1s_best/active/channel_ranking_vanilla_gradients.csv
age_cnn_1s_best,active,2,FC4,0.20822676,1.3179485,age_cnn_1s_best/active/channel_ranking_vanilla_gradients.csv
age_cnn_1s_best,active,3,PO4,0.15461944,0.92526776,age_cnn_1s_best/active/channel_ranking_vanilla_gradients.csv
age_cnn_1s_best,active,4,FT8,0.15276858,0.9074127,age_cnn_1s_best/active/channel_ranking_vanilla_gradients.csv
age_cnn_1s_best,active,5,F9,0.1523077,0.928804,age_cnn_1s_best/active/channel_ranking_vanilla_gradients.csv
age_cnn_1s_best,active,6,CPZ,0.14875841,0.8624176,age_cnn_1s_best/active/channel_ranking_vanilla_gradients.csv
age_cnn_1s_best,active,7,P5,0.14616798,0.9310855,age_cnn_1s_best/active/channel_ranking_vanilla_gradients.csv
age_cnn_1s_best,active,8,F7,0.14552487,0.8536296,age_cnn_1s_best/active/channel_ranking_vanilla_gradients.csv
age_cnn_1s_best,active,9,PZ,0.14522877,0.89100295,age_cnn_1s_best/active/channel_ranking_vanilla_gradients.csv
age_cnn_1s_best,active,10,AF7,0.13857973,0.8593055,age_cnn_1s_best/active/channel_ranking_vanilla_gradients.csv
age_cnn_1s_best,passive,1,FC6,0.26129076,1.4975421,age_cnn_1s_best/passive/channel_ranking_vanilla_gradients.csv
age_cnn_1s_best,passive,2,FC4,0.25425076,1.5846003,age_cnn_1s_best/passive/channel_ranking_vanilla_gradients.csv
age_cnn_1s_best,passive,3,FT8,0.19328386,1.1832119,age_cnn_1s_best/passive/channel_ranking_vanilla_gradients.csv
age_cnn_1s_best,passive,4,F9,0.18843052,1.1298275,age_cnn_1s_best/passive/channel_ranking_vanilla_gradients.csv
age_cnn_1s_best,passive,5,PO4,0.18771839,1.1027858,age_cnn_1s_best/passive/channel_ranking_vanilla_gradients.csv
age_cnn_1s_best,passive,6,CPZ,0.18714434,1.0869548,age_cnn_1s_best/passive/channel_ranking_vanilla_gradients.csv
age_cnn_1s_best,passive,7,PZ,0.18172722,1.1206517,age_cnn_1s_best/passive/channel_ranking_vanilla_gradients.csv
age_cnn_1s_best,passive,8,F7,0.17857131,1.0382152,age_cnn_1s_best/passive/channel_ranking_vanilla_gradients.csv
age_cnn_1s_best,passive,9,P5,0.17531222,1.0319088,age_cnn_1s_best/passive/channel_ranking_vanilla_gradients.csv
age_cnn_1s_best,passive,10,AF7,0.16633695,1.0027357,age_cnn_1s_best/passive/channel_ranking_vanilla_gradients.csv
