Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,Channel 22,0.057553478,0.22455549,5.7972225e-05,7.985332
2,Channel 60,0.044400606,0.15967783,0.000100255995,5.570607
3,Channel 35,0.042238094,0.15761842,7.713253e-05,5.8078423
4,Channel 42,0.0399278,0.16741616,5.4627966e-05,5.4667645
5,Channel 45,0.037988905,0.14949068,6.7008e-05,4.8811374
6,Channel 39,0.037833534,0.15167178,3.929407e-05,5.0832705
7,Channel 21,0.037778176,0.16200255,6.126354e-05,4.915457
8,Channel 41,0.035811555,0.13721405,5.4125827e-05,4.537285
9,Channel 40,0.03574012,0.13173847,5.633962e-05,4.6593513
10,Channel 30,0.034768373,0.13291316,7.538085e-05,5.1616473
11,Channel 24,0.03472067,0.13868864,6.483565e-05,5.136157
12,Channel 12,0.034597598,0.13605314,6.4752836e-05,4.3981953
13,Channel 10,0.03185916,0.12949027,4.482534e-05,4.3073597
14,Channel 29,0.029443515,0.12790805,5.0680654e-05,3.7344592
15,Channel 34,0.02830667,0.11900578,3.9162085e-05,3.9131334
16,Channel 43,0.028108131,0.11180245,4.111994e-05,3.5230908
17,Channel 2,0.028038487,0.11658928,5.233868e-05,3.4487424
18,Channel 16,0.027870545,0.112890996,6.449082e-05,3.5102959
19,Channel 56,0.027506346,0.10358788,3.6105022e-05,3.3813324
20,Channel 48,0.027332986,0.113641195,5.424663e-05,3.3196905
21,Channel 33,0.026801584,0.11387482,4.772641e-05,3.9876716
22,Channel 4,0.026558727,0.10178857,5.967871e-05,3.6979623
23,Channel 26,0.026498487,0.09900286,6.395067e-05,3.6519241
24,Channel 46,0.025870133,0.09993846,5.3976182e-05,2.8926172
25,Channel 8,0.025436543,0.10873594,5.708566e-05,3.418189
26,Channel 50,0.024900915,0.0969265,5.390002e-05,3.5254123
27,Channel 38,0.024873344,0.09871589,4.2419637e-05,2.9463134
28,Channel 47,0.024316372,0.09302162,6.782358e-05,2.7729094
29,Channel 58,0.024078561,0.09924947,3.17767e-05,3.618971
30,Channel 14,0.023963338,0.099219956,3.4415887e-05,2.9799635
31,Channel 36,0.023711696,0.0939254,4.9992705e-05,2.8509538
32,Channel 1,0.023665557,0.103160664,5.353339e-05,3.0371056
33,Channel 59,0.023626238,0.088611625,4.6387235e-05,2.7751262
34,Channel 25,0.022298636,0.09039186,4.9242357e-05,2.5915697
35,Channel 7,0.022178836,0.09239486,5.2866784e-05,2.823926
36,Channel 32,0.021976905,0.085016556,4.046969e-05,2.999536
37,Channel 20,0.021813747,0.091476575,4.150103e-05,3.0011342
38,Channel 52,0.02165043,0.083857015,3.9190538e-05,2.4607775
39,Channel 51,0.021102224,0.09003071,5.0183837e-05,2.7100384
40,Channel 17,0.020802107,0.09329459,4.939995e-05,2.8723805
41,Channel 18,0.02053927,0.08603629,4.2093758e-05,2.4780862
42,Channel 53,0.020487336,0.08532355,2.9833285e-05,2.6244407
43,Channel 31,0.02007891,0.086450934,3.8834663e-05,2.6156871
44,Channel 5,0.01944946,0.07580128,3.0100779e-05,2.5100875
45,Channel 55,0.019254033,0.07721269,3.25293e-05,2.1649506
46,Channel 37,0.018969296,0.08088191,3.761201e-05,2.7300243
47,Channel 23,0.018908707,0.075360924,3.1818712e-05,2.7140908
48,Channel 11,0.018839361,0.07556412,4.2674335e-05,2.3393915
49,Channel 19,0.018052524,0.07489861,4.3072487e-05,2.0827909
50,Channel 13,0.017902302,0.07653674,3.586274e-05,2.4323006
51,Channel 44,0.017869549,0.06737064,4.7758775e-05,2.2639992
52,Channel 49,0.017413784,0.073126175,4.1724532e-05,2.0722568
53,Channel 57,0.01696766,0.063912675,3.5191784e-05,2.3699002
54,Channel 54,0.016877979,0.07103187,2.4371499e-05,1.9789877
55,Channel 3,0.016650526,0.06654775,3.9360908e-05,2.0952954
56,Channel 28,0.016180709,0.06327125,2.2960738e-05,2.1173272
57,Channel 9,0.01612457,0.060463883,2.534604e-05,2.0697136
58,Channel 6,0.015565561,0.059368752,4.3205022e-05,2.2286992
59,Channel 27,0.014417008,0.05895873,2.7693877e-05,1.7427784
60,Channel 15,0.013623745,0.056792594,4.2030242e-05,1.7531708
