Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,Channel 22,0.07863652,0.3027646,0.00010504674,13.206509
2,Channel 60,0.060786095,0.218388,8.54867e-05,8.10614
3,Channel 35,0.057585903,0.20545691,7.748371e-05,8.278286
4,Channel 42,0.053743232,0.20560066,4.7536043e-05,8.205172
5,Channel 39,0.05112907,0.2099292,5.723986e-05,8.983446
6,Channel 45,0.05070625,0.18790007,7.4372525e-05,7.70759
7,Channel 21,0.0503386,0.1997883,6.671624e-05,7.8179016
8,Channel 40,0.048989512,0.17600498,6.116552e-05,7.6830554
9,Channel 41,0.047919646,0.17962201,7.6968536e-05,7.07671
10,Channel 30,0.047656976,0.1740223,6.0661136e-05,7.4814367
11,Channel 24,0.04725227,0.1801901,9.440203e-05,7.465723
12,Channel 12,0.04637493,0.1692937,7.122181e-05,6.8452063
13,Channel 10,0.042620104,0.16247052,6.130075e-05,6.690515
14,Channel 29,0.03857237,0.14892906,5.961251e-05,5.118944
15,Channel 43,0.03777782,0.13864663,6.5462395e-05,4.8706326
16,Channel 34,0.037574463,0.1414665,5.820125e-05,5.176704
17,Channel 56,0.03730185,0.14133796,5.1268165e-05,5.674048
18,Channel 16,0.03694657,0.13761373,6.4298234e-05,5.481743
19,Channel 48,0.03681482,0.13953157,4.327814e-05,4.953588
20,Channel 2,0.036595177,0.14158589,7.348449e-05,5.6865587
21,Channel 26,0.035693273,0.13009176,6.12433e-05,5.3304505
22,Channel 46,0.0355795,0.13091238,5.1222913e-05,4.5322666
23,Channel 33,0.03545058,0.1351606,3.2761865e-05,5.2501035
24,Channel 4,0.035170626,0.131174,4.3523567e-05,5.306192
25,Channel 38,0.033794507,0.12923634,5.2266743e-05,4.852832
26,Channel 8,0.033538446,0.12215269,5.188061e-05,4.049994
27,Channel 50,0.033434797,0.12536167,3.4537734e-05,5.895644
28,Channel 47,0.033208665,0.12244538,4.1496933e-05,4.6094375
29,Channel 58,0.03310886,0.12759058,4.209507e-05,4.4376574
30,Channel 14,0.03229172,0.12489942,4.0917846e-05,4.78551
31,Channel 36,0.03212261,0.11970012,6.4037784e-05,4.7584953
32,Channel 1,0.031867824,0.123285905,5.6043275e-05,4.4827724
33,Channel 59,0.031724222,0.12106281,3.602113e-05,4.7345915
34,Channel 25,0.031021332,0.121619694,3.5092216e-05,4.1347923
35,Channel 32,0.030395288,0.11271396,3.6064586e-05,4.0000467
36,Channel 20,0.029537177,0.11327813,3.6999623e-05,4.5395126
37,Channel 52,0.029168654,0.114722185,2.8682165e-05,4.7724447
38,Channel 7,0.029071951,0.10840182,5.6710727e-05,4.1344633
39,Channel 51,0.027800607,0.10754765,5.2459876e-05,3.9079394
40,Channel 53,0.027628548,0.10453369,4.483737e-05,3.596979
41,Channel 18,0.027178409,0.11077328,3.4968307e-05,4.777448
42,Channel 17,0.026974814,0.1023745,5.039959e-05,3.7259984
43,Channel 31,0.02680499,0.10337588,3.5309255e-05,3.6562414
44,Channel 5,0.026736576,0.10330114,3.2952088e-05,3.9938042
45,Channel 55,0.026079748,0.09865315,4.321606e-05,3.6612904
46,Channel 37,0.02605526,0.10356881,2.4858367e-05,3.9227889
47,Channel 11,0.025237273,0.09866857,3.076149e-05,4.142044
48,Channel 23,0.024906544,0.08939602,4.37579e-05,3.3032875
49,Channel 44,0.02415856,0.08945387,6.045452e-05,3.3180008
50,Channel 19,0.023678884,0.094106756,3.625111e-05,4.0057187
51,Channel 13,0.023600532,0.08921392,2.5302996e-05,3.5772624
52,Channel 57,0.022982813,0.0832903,2.784051e-05,3.6701572
53,Channel 3,0.022934785,0.08779762,3.5732424e-05,2.8830156
54,Channel 49,0.022701154,0.088532716,3.6297613e-05,3.5175498
55,Channel 54,0.022143286,0.08826678,2.0722378e-05,3.2515059
56,Channel 9,0.021721013,0.08353365,2.0307954e-05,3.7535186
57,Channel 28,0.021452975,0.08380475,2.3309834e-05,3.2259905
58,Channel 6,0.02094888,0.07789916,3.1308e-05,3.159524
59,Channel 27,0.018978877,0.06961225,2.9704745e-05,2.535662
60,Channel 15,0.01817939,0.06939878,3.0465702e-05,2.805281
