Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,Channel 22,0.02478587,0.10794076,3.295938e-05,5.5524817
2,Channel 53,0.022211278,0.08807317,3.090532e-05,3.9652736
3,Channel 41,0.021380125,0.084520005,3.0348672e-05,3.4796185
4,Channel 35,0.019930711,0.07865902,2.050618e-05,3.2450213
5,Channel 12,0.019818187,0.08112481,3.1133255e-05,3.4828527
6,Channel 45,0.018969284,0.0775292,2.7184804e-05,3.5746422
7,Channel 21,0.018447082,0.07981439,2.0381267e-05,3.9175286
8,Channel 60,0.017707303,0.072184384,3.233794e-05,3.0773985
9,Channel 30,0.01655593,0.066188306,2.5159954e-05,2.7015908
10,Channel 42,0.014830539,0.059370954,2.2499216e-05,2.6527245
11,Channel 29,0.014820667,0.060806945,1.8754561e-05,2.782547
12,Channel 10,0.014811278,0.060571276,2.0019006e-05,2.7280638
13,Channel 38,0.014652491,0.059612196,2.1582431e-05,2.6320403
14,Channel 39,0.0142284995,0.06394569,1.8072822e-05,3.30846
15,Channel 48,0.01358975,0.05807432,1.8443547e-05,2.6912289
16,Channel 40,0.01295548,0.05060895,2.0073105e-05,2.6395752
17,Channel 1,0.012915497,0.05132756,1.5409147e-05,2.1293523
18,Channel 33,0.012727151,0.049678233,2.066473e-05,1.9940637
19,Channel 46,0.012630667,0.050570436,1.6559232e-05,2.4890413
20,Channel 58,0.012064934,0.047020983,1.6080798e-05,2.0804572
21,Channel 51,0.012045422,0.05332102,1.5695654e-05,2.6720247
22,Channel 26,0.011993187,0.049674258,1.6872391e-05,2.0921402
23,Channel 44,0.01177541,0.04747451,1.6872795e-05,1.9097818
24,Channel 34,0.011605047,0.04689198,1.2578302e-05,2.154091
25,Channel 2,0.011587454,0.04504752,1.77396e-05,1.8620999
26,Channel 8,0.011502163,0.046329107,1.8656736e-05,2.084859
27,Channel 43,0.0109024765,0.04344709,1.4395576e-05,2.1778576
28,Channel 14,0.010843065,0.045079228,1.723038e-05,1.978035
29,Channel 24,0.010578426,0.04270593,1.143805e-05,2.178264
30,Channel 16,0.010562209,0.04027012,1.4957712e-05,1.8026338
31,Channel 19,0.010479392,0.041888814,1.0808105e-05,1.9499232
32,Channel 7,0.010456433,0.0419878,1.4275246e-05,1.9908246
33,Channel 31,0.010176769,0.040888812,1.4295507e-05,1.7381537
34,Channel 59,0.010144235,0.039844837,9.306275e-06,1.4974213
35,Channel 4,0.010024909,0.044932306,1.3179152e-05,2.2169116
36,Channel 37,0.009977666,0.039298218,1.7672768e-05,1.6237915
37,Channel 32,0.009645733,0.03706941,9.350957e-06,1.4953054
38,Channel 5,0.009608258,0.039372236,1.3655793e-05,1.713455
39,Channel 20,0.009555227,0.038142312,1.3591374e-05,1.5406848
40,Channel 17,0.009392176,0.037854955,1.5089514e-05,1.7736034
41,Channel 18,0.009322581,0.043671373,1.2424246e-05,2.1356368
42,Channel 54,0.009181677,0.038008943,1.2673302e-05,1.6307974
43,Channel 23,0.00905792,0.0389196,9.64383e-06,1.9199358
44,Channel 47,0.009041693,0.03571545,1.2148322e-05,1.7291538
45,Channel 11,0.008970484,0.03586835,1.34024995e-05,1.5210544
46,Channel 25,0.008938038,0.03646527,1.0775603e-05,1.6422552
47,Channel 36,0.008682369,0.03385207,1.41977935e-05,1.5300021
48,Channel 13,0.008565051,0.03281084,1.2639658e-05,1.4807125
49,Channel 27,0.008354063,0.036272444,1.1037308e-05,1.8495898
50,Channel 55,0.007943122,0.03096085,1.3116896e-05,1.2701838
51,Channel 6,0.007910218,0.03164236,1.0684358e-05,1.4594156
52,Channel 28,0.00790801,0.034852322,9.426684e-06,1.8381402
53,Channel 56,0.007902155,0.030164476,1.2005443e-05,1.2583387
54,Channel 50,0.0076185097,0.031560425,9.8535675e-06,1.3475249
55,Channel 3,0.0076015126,0.03094733,1.0119094e-05,1.3790917
56,Channel 52,0.007569716,0.03236142,7.0733495e-06,1.6466211
57,Channel 9,0.0074810553,0.029129485,1.1398847e-05,1.2835455
58,Channel 57,0.0073462236,0.028523918,1.0080058e-05,1.1746687
59,Channel 15,0.007109295,0.0291225,8.282584e-06,1.2302154
60,Channel 49,0.0070360755,0.027090048,7.618576e-06,1.2356088
