Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,FC4,0.03514903,0.2001917,0.0,7.4026546
2,FC6,0.03434206,0.20414726,0.0,8.264754
3,PO4,0.033971637,0.19144006,0.0,6.570658
4,T10,0.030248748,0.18613078,0.0,7.736883
5,FC1,0.029615534,0.18562745,0.0,7.402899
6,PO7,0.029214187,0.16421558,0.0,5.9619713
7,CPZ,0.02802077,0.16100624,0.0,6.7201257
8,F9,0.027954904,0.16203135,0.0,5.821255
9,P5,0.026987255,0.15857264,0.0,6.168358
10,POZ,0.02666103,0.15496539,0.0,5.693423
11,FT8,0.025950653,0.14190677,0.0,4.5811977
12,P8,0.025492549,0.14284316,0.0,5.105981
13,PZ,0.025331495,0.14290059,0.0,4.9409866
14,AF3,0.025247404,0.14625013,0.0,5.303049
15,F1,0.02515781,0.1432276,0.0,5.917334
16,P2,0.022919474,0.13759084,0.0,5.1841574
17,F4,0.02289083,0.1281805,0.0,4.3347855
18,F7,0.02267175,0.13010424,0.0,5.0003195
19,C5,0.022071807,0.12309175,0.0,4.6354804
20,FC5,0.021205386,0.11760531,0.0,4.0034122
21,FP1,0.020985061,0.11966206,0.0,4.5196357
22,AF7,0.02055751,0.113934495,0.0,3.8824096
23,C6,0.020427475,0.11518073,0.0,4.255626
24,CP3,0.020237062,0.11695314,0.0,4.398278
25,FZ,0.019524831,0.10699296,0.0,4.300485
26,F8,0.01902914,0.11198244,0.0,5.1445885
27,O2,0.018974766,0.10313479,0.0,3.7770324
28,CP1,0.018896332,0.11428806,0.0,4.4332275
29,FC3,0.018439481,0.09844144,0.0,3.4313571
30,CP6,0.01824145,0.11131952,0.0,4.183896
31,P6,0.018093027,0.10059247,0.0,3.9622009
32,FC2,0.01781208,0.10226771,0.0,4.338358
33,AF4,0.01750563,0.09897349,0.0,3.2650206
34,P4,0.017293276,0.098974064,0.0,3.7791715
35,AFZ,0.017231679,0.1002114,0.0,3.8402677
36,O1,0.016585339,0.10192535,0.0,4.249164
37,F2,0.016568271,0.09334839,0.0,3.2735722
38,C3,0.016473738,0.09296533,0.0,3.2435977
39,T9,0.01633338,0.10581486,0.0,4.6664042
40,T7,0.015101289,0.08989452,0.0,3.3898027
41,CP5,0.014878192,0.08650599,0.0,3.285334
42,C4,0.014453827,0.08301251,0.0,2.9669063
43,FP2,0.014204704,0.08886319,0.0,3.3370397
44,CP4,0.014032582,0.080771916,0.0,2.9979362
45,F6,0.0139599005,0.083161354,0.0,4.071727
46,OZ,0.013876688,0.07743001,0.0,2.6330929
47,AF8,0.013845291,0.08076568,0.0,3.4490182
48,T8,0.013797156,0.0817592,0.0,3.362927
49,PO3,0.013666913,0.07620974,0.0,2.5966818
50,P1,0.013468334,0.07541405,0.0,2.8383346
51,F3,0.013448491,0.0786018,0.0,3.0070164
52,F5,0.013438478,0.07553143,0.0,2.5325913
53,PO8,0.013296288,0.07767523,0.0,2.925341
54,FT7,0.013175161,0.07243035,0.0,2.7058294
55,C1,0.0126342345,0.07119474,0.0,2.830221
56,CP2,0.012547524,0.06987958,0.0,2.5161185
57,F10,0.012244864,0.0682905,0.0,2.2709146
58,P3,0.012176962,0.06882514,0.0,2.5239518
59,P7,0.01191273,0.06675627,0.0,2.590278
60,C2,0.009605539,0.055077318,0.0,2.1214921
