Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,FC4,0.025913447,0.17104264,0.0,8.259032
2,PO4,0.022547256,0.15579721,0.0,7.7170715
3,FC6,0.021259923,0.14555825,0.0,6.3873296
4,CPZ,0.018913167,0.11968343,0.0,5.1455455
5,F1,0.018881684,0.1169499,0.0,5.351677
6,F9,0.018518977,0.123117365,0.0,5.684863
7,FT8,0.01747678,0.10934768,0.0,5.0546756
8,FC1,0.017189298,0.11503834,0.0,5.2654467
9,P5,0.017037604,0.11986224,0.0,5.6810303
10,P8,0.016772995,0.10448175,0.0,4.5628695
11,PO7,0.016476272,0.10126492,0.0,4.470789
12,F4,0.016244944,0.09629512,0.0,4.4945226
13,PZ,0.01608788,0.10589779,0.0,4.732163
14,FC5,0.015923725,0.10420486,0.0,4.8478866
15,POZ,0.015162383,0.10452422,0.0,4.8210406
16,FZ,0.014821167,0.091348805,0.0,4.0481005
17,T10,0.014615738,0.09733798,0.0,4.594711
18,AF3,0.013852696,0.099902116,0.0,4.6334753
19,C6,0.013726415,0.09433528,0.0,4.597548
20,O2,0.013691518,0.08545215,0.0,4.195722
21,F8,0.013655421,0.08480756,0.0,3.8680632
22,C5,0.013586539,0.0883956,0.0,4.3101935
23,P2,0.013548797,0.079493836,0.0,3.653092
24,F7,0.013348175,0.089219116,0.0,4.00745
25,FC3,0.01315977,0.086168505,0.0,3.9842746
26,FP1,0.012984572,0.08503068,0.0,4.0327425
27,C3,0.01262346,0.08207392,0.0,3.833809
28,CP3,0.011394735,0.07066925,0.0,3.2256908
29,AF7,0.011330856,0.07714726,0.0,3.709328
30,P6,0.011315033,0.07098066,0.0,3.2825584
31,PO3,0.011270599,0.070232995,0.0,2.9816675
32,AF4,0.0112365335,0.07277026,0.0,3.3130724
33,F2,0.011168275,0.07471666,0.0,3.4348822
34,AFZ,0.010965419,0.07790818,0.0,3.7114744
35,CP1,0.010897877,0.07170196,0.0,3.1961408
36,FC2,0.010725613,0.07151027,0.0,3.1384714
37,C4,0.010658667,0.072245665,0.0,3.358314
38,PO8,0.010475465,0.07016426,0.0,3.1409984
39,P1,0.010299117,0.065211125,0.0,3.1041803
40,FT7,0.0102448715,0.06482583,0.0,2.8609436
41,CP6,0.0096053155,0.06613789,0.0,3.1365523
42,T7,0.009329269,0.059748374,0.0,2.6253994
43,T8,0.009262633,0.055268213,0.0,2.4616818
44,C1,0.009105593,0.059488676,0.0,2.903327
45,CP4,0.00904692,0.057928,0.0,2.7138896
46,P3,0.00893773,0.064760946,0.0,3.2523668
47,CP5,0.008834521,0.06455124,0.0,3.041564
48,F5,0.008810441,0.057673547,0.0,2.724715
49,P4,0.008709497,0.056423165,0.0,2.4511535
50,T9,0.00843942,0.054906078,0.0,2.6070013
51,AF8,0.0084026735,0.05705282,0.0,2.5606885
52,OZ,0.008041264,0.051348526,0.0,2.316944
53,F6,0.008000688,0.0514948,0.0,2.3272564
54,FP2,0.007968434,0.05464145,0.0,2.4414747
55,P7,0.007926948,0.051754937,0.0,2.3394046
56,CP2,0.00783099,0.04680173,0.0,2.1562073
57,F3,0.0078050704,0.051163062,0.0,2.2566378
58,O1,0.00780483,0.050699987,0.0,2.3891003
59,F10,0.0072077475,0.047278184,0.0,2.2004132
60,C2,0.0059649334,0.038938727,0.0,1.8248757
