Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,FC4,0.025610093,0.16075754,0.0,8.259032
2,PO4,0.022239638,0.14704059,0.0,7.7170715
3,FC6,0.020930225,0.1371288,0.0,6.3873296
4,F1,0.018729666,0.10998925,0.0,5.351677
5,CPZ,0.018692406,0.11287694,0.0,5.1455455
6,F9,0.018254902,0.115642026,0.0,5.684863
7,FT8,0.017290743,0.10271649,0.0,5.0546756
8,FC1,0.016943863,0.10815216,0.0,5.2654467
9,P5,0.0167672,0.11272883,0.0,5.6810303
10,P8,0.016547767,0.098024406,0.0,4.5628695
11,PO7,0.016291128,0.09522413,0.0,4.470789
12,F4,0.01612719,0.09044525,0.0,4.4945226
13,PZ,0.015856504,0.099515125,0.0,4.732163
14,FC5,0.015741369,0.09801829,0.0,4.8478866
15,POZ,0.014936021,0.098628566,0.0,4.8210406
16,FZ,0.0146761155,0.08570116,0.0,4.0481005
17,T10,0.014423661,0.091989376,0.0,4.594711
18,AF3,0.013633644,0.09427769,0.0,4.6334753
19,O2,0.01356469,0.080328204,0.0,4.195722
20,F8,0.013536607,0.079824895,0.0,3.8680632
21,C6,0.013535831,0.08901956,0.0,4.597548
22,P2,0.013427337,0.07489642,0.0,3.653092
23,C5,0.013422435,0.08299289,0.0,4.3101935
24,F7,0.01316083,0.08397866,0.0,4.00745
25,FC3,0.012985928,0.08119008,0.0,3.9842746
26,FP1,0.012794585,0.07960687,0.0,4.0327425
27,C3,0.012434129,0.07692895,0.0,3.833809
28,CP3,0.011260751,0.06644477,0.0,3.2256908
29,P6,0.01118426,0.067161106,0.0,3.2825584
30,AF7,0.01118138,0.073006585,0.0,3.709328
31,PO3,0.011139085,0.06579849,0.0,2.9816675
32,AF4,0.011093055,0.06867896,0.0,3.3130724
33,F2,0.011020062,0.07032954,0.0,3.4348822
34,AFZ,0.010794087,0.073298804,0.0,3.7114744
35,CP1,0.010727641,0.06730961,0.0,3.1961408
36,FC2,0.01056444,0.0670835,0.0,3.1384714
37,C4,0.010507687,0.06785985,0.0,3.358314
38,PO8,0.010332169,0.06610951,0.0,3.1409984
39,P1,0.010195159,0.061813757,0.0,3.1041803
40,FT7,0.010117713,0.061121535,0.0,2.8609436
41,CP6,0.009460092,0.062321447,0.0,3.1365523
42,T7,0.009179212,0.056092534,0.0,2.6253994
43,T8,0.009175947,0.051764913,0.0,2.4616818
44,C1,0.008985524,0.056178108,0.0,2.903327
45,CP4,0.008914496,0.054359857,0.0,2.7138896
46,P3,0.00878961,0.061198458,0.0,3.2523668
47,F5,0.008707813,0.054291114,0.0,2.724715
48,CP5,0.008670784,0.06053255,0.0,3.041564
49,P4,0.008584866,0.0528449,0.0,2.362564
50,T9,0.00833702,0.051776692,0.0,2.6070013
51,AF8,0.0082790945,0.05382186,0.0,2.5606885
52,OZ,0.007914278,0.047962446,0.0,2.316944
53,F6,0.0078980895,0.048472226,0.0,2.3272564
54,FP2,0.007836844,0.051415917,0.0,2.4414747
55,P7,0.007834464,0.04869473,0.0,2.3394046
56,CP2,0.007751328,0.043932077,0.0,2.1562073
57,O1,0.007712805,0.047898546,0.0,2.3891003
58,F3,0.0076985327,0.04813119,0.0,2.2566378
59,F10,0.0071070604,0.04452072,0.0,2.2004132
60,C2,0.005889392,0.03673796,0.0,1.8248757
