Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,PZ,0.035865527,0.03558219,0.00081174506,0.57319695
2,T10,0.031376492,0.029683357,0.00073129806,0.5208642
3,P4,0.029815035,0.02946655,0.0008025194,0.4909403
4,C3,0.029379157,0.026144665,0.0008212693,0.35263866
5,FC3,0.028763484,0.029626995,0.00064696156,0.5289902
6,P8,0.028577723,0.025479019,0.0006031596,0.38727072
7,P7,0.027674012,0.026618928,0.0007121399,0.45066893
8,PO8,0.02722836,0.02424619,0.0006913669,0.3189726
9,FC4,0.026894256,0.025188293,0.00069113454,0.41443458
10,P1,0.025986312,0.022474907,0.0007174302,0.2918334
11,CPZ,0.025929898,0.024207965,0.00068469316,0.34996527
12,F9,0.025746694,0.024797741,0.00069062,0.33921158
13,PO3,0.025182022,0.023453468,0.000727639,0.351462
14,P5,0.025095291,0.02335077,0.00059801317,0.36385503
15,POZ,0.02505794,0.024569364,0.00074650743,0.40752777
16,PO4,0.024711503,0.022525432,0.00064823497,0.32504097
17,T9,0.024708029,0.021441964,0.0007564348,0.2551446
18,F1,0.024578506,0.02228271,0.00063831435,0.2743896
19,F7,0.024518326,0.02257665,0.0006157827,0.32551974
20,CP6,0.024416076,0.023877593,0.0006851135,0.41811073
21,AFZ,0.023975678,0.023083515,0.0006572759,0.4147662
22,CP1,0.023889896,0.022632848,0.00069353444,0.36539692
23,C2,0.023851994,0.021156678,0.0006880361,0.3302867
24,F3,0.02381124,0.021898672,0.00055823737,0.3683007
25,F6,0.023707302,0.021139698,0.0007123774,0.23987468
26,PO7,0.023675153,0.01963055,0.0006909541,0.26019844
27,O2,0.023432193,0.021105018,0.0005986822,0.28669342
28,CP5,0.023323236,0.022243021,0.0007125441,0.4456029
29,AF3,0.02312477,0.020793688,0.0007418901,0.28647885
30,FT8,0.023106018,0.021189306,0.00065511063,0.31182465
31,P3,0.023011064,0.020890001,0.0007076166,0.36130926
32,FP1,0.022758959,0.019799504,0.00072256755,0.30605963
33,P2,0.022536825,0.01892307,0.00076172367,0.23578
34,F2,0.022253746,0.019088108,0.0007217245,0.25987345
35,F4,0.022191819,0.020062039,0.0006879955,0.3270125
36,OZ,0.022172933,0.018812088,0.00062626664,0.24983713
37,F5,0.022081636,0.018327028,0.0006418076,0.21028198
38,FC6,0.021992402,0.019113895,0.0006693977,0.29246485
39,F10,0.021936303,0.020284103,0.00060340075,0.35770515
40,C6,0.021889938,0.019621707,0.00072196824,0.33527014
41,O1,0.021852072,0.018477561,0.000654327,0.23670779
42,C4,0.021771263,0.020030333,0.00064098526,0.3268046
43,CP3,0.02157539,0.018287964,0.0006352393,0.22485803
44,FP2,0.021511499,0.018388985,0.00063739147,0.21779512
45,FC1,0.021439763,0.018669775,0.0006202773,0.30062008
46,AF7,0.021356918,0.018167293,0.00075510994,0.23671576
47,CP4,0.02128189,0.018278496,0.00068835565,0.19907399
48,P6,0.021050103,0.019132396,0.00060201477,0.31287783
49,T7,0.021047385,0.018936036,0.00061196,0.22247289
50,FZ,0.021039791,0.017556677,0.00073661236,0.23131707
51,FC5,0.020799268,0.018569313,0.0006643274,0.28400743
52,T8,0.020619826,0.017706655,0.0006750416,0.20924348
53,AF4,0.020543806,0.017397998,0.0006719009,0.21902755
54,C5,0.02053974,0.01747447,0.00059833674,0.21219905
55,FC2,0.02050628,0.017379649,0.00065867626,0.22248785
56,C1,0.020353034,0.017055057,0.0006431338,0.19951206
57,AF8,0.020328524,0.017401533,0.000590356,0.22383006
58,FT7,0.019911628,0.01719427,0.0006579751,0.24642688
59,F8,0.018787889,0.016201768,0.0005641944,0.25512892
60,CP2,0.018786354,0.015538027,0.0006157811,0.21793853
