Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,PZ,0.04802428,0.090390876,0.00053933484,1.264868
2,T10,0.040811803,0.07158109,0.0006348443,1.0608472
3,P4,0.038839076,0.06870093,0.00061981677,0.97059566
4,FC3,0.03880522,0.07589514,0.0005478136,1.1071366
5,P7,0.036733747,0.0665956,0.000538589,0.8939422
6,C3,0.03647881,0.056164533,0.0006309286,0.8628091
7,P8,0.036333144,0.058635127,0.0005530449,0.7707431
8,FC4,0.03505721,0.062028956,0.00054267334,0.8936896
9,POZ,0.034358762,0.0656143,0.00052741263,0.8531073
10,PO8,0.03388318,0.051406745,0.0005663517,0.6852957
11,CPZ,0.033527207,0.055535335,0.00053746335,0.73929936
12,F9,0.033203024,0.055855405,0.0005311848,1.0425354
13,PO3,0.03259456,0.054317314,0.00041324343,0.676063
14,P1,0.03250971,0.049151704,0.0005875504,0.6384146
15,P5,0.032355614,0.053627975,0.0005337867,0.6540233
16,CP6,0.03223935,0.057960935,0.00042434476,0.75274456
17,CP1,0.031477533,0.05630258,0.00045721355,0.7956658
18,AFZ,0.031420015,0.05621321,0.000552677,0.8806458
19,PO4,0.031221095,0.04988021,0.0005238879,0.63009506
20,F7,0.031145345,0.049527258,0.0005086344,0.61578286
21,T9,0.0310382,0.04745643,0.00050961744,0.6286391
22,F1,0.03089561,0.048148636,0.00048017333,0.60404474
23,F3,0.030852074,0.051798787,0.00052509597,0.7281058
24,CP5,0.030434811,0.05351042,0.0005732475,0.88054043
25,FT8,0.030420557,0.051574204,0.0005544214,0.6135969
26,C2,0.030347811,0.048665825,0.0005689804,0.6607715
27,P3,0.030251242,0.053078745,0.00046743266,0.7930834
28,O2,0.029986782,0.048104487,0.00048264427,0.5768904
29,F6,0.029972479,0.04557805,0.0005739827,0.5893028
30,AF3,0.029942721,0.050314747,0.0005314307,0.8038526
31,PO7,0.02963317,0.043379154,0.0004793006,0.55797267
32,C6,0.028859997,0.050196074,0.00044468386,0.7030825
33,F10,0.028814897,0.05160517,0.0004988889,0.82170796
34,C4,0.028264346,0.04773749,0.000552111,0.61717683
35,FP1,0.028263906,0.04205459,0.00059182924,0.70662826
36,P2,0.028151164,0.042173244,0.0005061413,0.52609915
37,FC6,0.028068325,0.044277012,0.00051701505,0.6400517
38,F4,0.027926994,0.04370089,0.00038637652,0.5994445
39,FC1,0.027813036,0.04554715,0.00047590278,0.6120383
40,F2,0.027703976,0.04120446,0.00045693855,0.5554179
41,OZ,0.027676366,0.04053562,0.0005481602,0.57569486
42,O1,0.027276572,0.040760566,0.0005359797,0.59622
43,P6,0.02705996,0.0446856,0.00041437658,0.6812094
44,AF7,0.026721578,0.040155027,0.00047801307,0.49014977
45,CP4,0.026236437,0.037387304,0.0005171924,0.4594126
46,FP2,0.026198601,0.03616138,0.00047279376,0.5345617
47,F5,0.026182534,0.03295776,0.0005588028,0.53472364
48,CP3,0.026176315,0.036756303,0.00042937166,0.4935247
49,FC5,0.026091225,0.040676568,0.00046699075,0.57937163
50,FZ,0.025880862,0.03625556,0.0004739916,0.5110187
51,T7,0.025786042,0.037308607,0.00045489444,0.61365724
52,T8,0.025400857,0.036610346,0.00057715527,0.46684185
53,AF8,0.025357092,0.037980773,0.0004982203,0.5117654
54,FC2,0.025000317,0.034876686,0.00048608094,0.47003782
55,AF4,0.024944792,0.033809043,0.0005434788,0.38253176
56,C1,0.02483106,0.034030803,0.00039804226,0.39927658
57,C5,0.02476842,0.03329531,0.0005150869,0.5227817
58,FT7,0.024602253,0.0362278,0.0004441276,0.5352276
59,F8,0.02344241,0.03565932,0.00049418164,0.48587638
60,CP2,0.022922149,0.031749494,0.00045931264,0.47249183
