Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,Channel 26,0.07745675,0.37217364,2.4691226e-05,9.249613
2,Channel 48,0.07608121,0.34143224,3.07338e-05,9.242541
3,Channel 37,0.062400732,0.29385546,1.7891189e-05,7.5288696
4,Channel 42,0.054616917,0.24242677,1.1635252e-05,6.3905005
5,Channel 35,0.05422206,0.25898415,1.7416534e-05,6.752501
6,Channel 15,0.044315234,0.22928168,2.2226253e-05,6.2907734
7,Channel 31,0.043172617,0.20425005,1.1198002e-05,5.171369
8,Channel 14,0.04237133,0.18114388,1.2288368e-05,5.1280265
9,Channel 33,0.0422297,0.19759409,1.7865123e-05,4.9235187
10,Channel 25,0.041987438,0.19455846,1.5572383e-05,4.513954
11,Channel 32,0.041720286,0.1829585,1.7132692e-05,5.6043224
12,Channel 4,0.040956587,0.1747472,1.4168648e-05,4.7638197
13,Channel 16,0.040066175,0.1874251,1.980302e-05,4.7643304
14,Channel 45,0.03930838,0.19292456,2.0392717e-05,4.7942576
15,Channel 10,0.03852199,0.17459199,1.3744037e-05,5.6030555
16,Channel 28,0.037817806,0.18170315,1.7987237e-05,5.2402434
17,Channel 47,0.03762447,0.19592611,1.9983765e-05,5.1647058
18,Channel 39,0.036822453,0.17422678,1.1645728e-05,4.493511
19,Channel 49,0.036089104,0.16740859,7.290819e-06,4.0415497
20,Channel 6,0.03526178,0.17523617,1.5780051e-05,4.3449078
21,Channel 46,0.0324943,0.13947505,1.00655725e-05,3.4477093
22,Channel 9,0.032395925,0.15773392,1.4656649e-05,4.014709
23,Channel 38,0.03225992,0.14847748,9.455164e-06,4.25552
24,Channel 18,0.03186234,0.13798341,8.935059e-06,3.705162
25,Channel 53,0.031266544,0.16363487,1.2682443e-05,4.2158155
26,Channel 56,0.030216577,0.1364903,7.897214e-06,4.1008563
27,Channel 13,0.029430252,0.13824758,1.0274039e-05,3.4103534
28,Channel 5,0.029116495,0.13017939,1.2162465e-05,3.416963
29,Channel 17,0.028881533,0.139702,7.673379e-06,3.4862797
30,Channel 30,0.02828364,0.1337737,8.55457e-06,3.4063473
31,Channel 57,0.02775541,0.12102888,7.829329e-06,3.1973565
32,Channel 23,0.026887292,0.13039964,1.4010878e-05,3.1714945
33,Channel 34,0.026725661,0.12949596,9.89727e-06,3.2026606
34,Channel 52,0.026157996,0.1241277,8.1981825e-06,3.3847046
35,Channel 20,0.025467735,0.11413645,1.0889905e-05,3.0761616
36,Channel 41,0.025387317,0.11738472,6.4824635e-06,3.360788
37,Channel 44,0.025307767,0.12169547,1.0777407e-05,3.2520971
38,Channel 58,0.024973214,0.10927007,9.431997e-06,3.2215903
39,Channel 55,0.024843417,0.11496996,9.779251e-06,2.8660498
40,Channel 50,0.022810742,0.10116361,9.289805e-06,2.5549695
41,Channel 51,0.022708563,0.105012074,1.0252602e-05,2.631842
42,Channel 60,0.02210306,0.107357815,7.268778e-06,2.9185572
43,Channel 24,0.021517111,0.09680693,8.036208e-06,2.8279932
44,Channel 21,0.021219473,0.10928622,8.241832e-06,2.9554522
45,Channel 29,0.020822447,0.0937934,5.4575153e-06,2.576453
46,Channel 2,0.020664454,0.090768375,8.811199e-06,2.356292
47,Channel 12,0.019708976,0.09505619,7.679418e-06,2.4104598
48,Channel 11,0.01951134,0.08574162,5.326903e-06,2.3388507
49,Channel 3,0.019221686,0.0922152,7.042392e-06,2.8752093
50,Channel 22,0.019081147,0.0856784,6.405319e-06,2.1142123
51,Channel 8,0.018802807,0.09503097,5.9045087e-06,2.4531074
52,Channel 19,0.018529298,0.08818165,6.0918296e-06,2.2811224
53,Channel 7,0.018330596,0.09177615,9.707104e-06,2.231996
54,Channel 36,0.018259505,0.08579507,7.1613786e-06,2.1425524
55,Channel 54,0.016733767,0.08204693,6.4166493e-06,2.2450862
56,Channel 59,0.01664394,0.07915233,4.3642563e-06,1.9510586
57,Channel 1,0.015321045,0.07058632,6.9593557e-06,1.9756914
58,Channel 43,0.014371521,0.070277736,7.3227525e-06,1.7739385
59,Channel 27,0.014279515,0.067044124,5.1313564e-06,1.5372366
60,Channel 40,0.0140001215,0.06553654,7.874413e-06,1.6722753
