Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,Channel 26,0.045026865,0.13294894,0.00018618803,5.0047216
2,Channel 48,0.044840254,0.12945904,0.00013195438,4.9812794
3,Channel 37,0.033425782,0.09774665,0.00011603909,3.6221044
4,Channel 35,0.032808304,0.09527095,0.00013489687,3.6849906
5,Channel 42,0.031538125,0.09058898,0.00014532242,3.105299
6,Channel 25,0.031176915,0.08873576,0.00013505187,3.3233728
7,Channel 31,0.027605394,0.08463168,0.00012720386,2.969797
8,Channel 4,0.02716652,0.079896346,9.426309e-05,3.748679
9,Channel 45,0.025216436,0.076433055,0.00010053342,3.149995
10,Channel 33,0.02469546,0.079768926,0.00010146355,2.543905
11,Channel 15,0.024591262,0.07318245,9.0777954e-05,2.8116014
12,Channel 14,0.0234683,0.06819346,7.133468e-05,2.714763
13,Channel 16,0.022821398,0.0668185,0.00010045077,3.1296875
14,Channel 46,0.020953383,0.06418459,8.4589636e-05,2.7188165
15,Channel 6,0.020843504,0.06142818,6.718804e-05,2.6952643
16,Channel 32,0.020739652,0.063462995,0.000100137346,2.5893593
17,Channel 10,0.01977625,0.058409996,8.070262e-05,2.2057636
18,Channel 38,0.01942197,0.06160352,9.7903365e-05,2.3059838
19,Channel 39,0.019410877,0.05924261,8.3617015e-05,2.617416
20,Channel 55,0.018504787,0.055383287,6.168336e-05,2.4013028
21,Channel 9,0.018240646,0.05982838,7.726793e-05,2.2949743
22,Channel 56,0.01784988,0.05836716,8.211329e-05,2.1230915
23,Channel 5,0.017533783,0.05239777,6.4637585e-05,2.123503
24,Channel 13,0.017265696,0.050320297,7.515325e-05,2.1573598
25,Channel 50,0.016542919,0.050307583,5.0540137e-05,2.348434
26,Channel 49,0.016487023,0.049584582,5.584428e-05,2.0026598
27,Channel 47,0.016373577,0.047102746,5.8307367e-05,1.9231905
28,Channel 28,0.0152472565,0.046573415,5.5085755e-05,2.0015318
29,Channel 53,0.015043436,0.044991754,7.860394e-05,1.877647
30,Channel 22,0.014732119,0.04459868,8.053895e-05,2.0078368
31,Channel 41,0.014662475,0.045441993,6.453773e-05,1.7029256
32,Channel 34,0.0146523295,0.044996474,4.8574162e-05,1.6449388
33,Channel 23,0.014298759,0.04262807,4.1885072e-05,1.8549191
34,Channel 44,0.01375796,0.043462016,4.6984613e-05,1.6582443
35,Channel 20,0.0136413695,0.040738575,4.904077e-05,1.5591779
36,Channel 30,0.013636064,0.041349813,5.051607e-05,1.7285434
37,Channel 52,0.013543295,0.0420881,5.3114356e-05,1.5168272
38,Channel 17,0.013442903,0.038401168,6.9052454e-05,1.5367013
39,Channel 60,0.012793016,0.037185404,5.4125896e-05,1.3389549
40,Channel 57,0.012654018,0.038879424,4.0692095e-05,1.7442981
41,Channel 19,0.012646996,0.036695864,5.2881576e-05,1.5881287
42,Channel 51,0.012604946,0.037075337,4.797844e-05,1.5322522
43,Channel 40,0.012516993,0.03787944,4.0267445e-05,1.1856039
44,Channel 59,0.012377446,0.03799862,6.892302e-05,1.6099757
45,Channel 7,0.012364404,0.038877495,6.026625e-05,1.5853375
46,Channel 11,0.012124513,0.03739644,4.2353764e-05,1.3837483
47,Channel 29,0.01202143,0.03530849,6.0717062e-05,1.3279258
48,Channel 18,0.011958293,0.03644787,3.8869046e-05,1.43402
49,Channel 58,0.011899154,0.035713293,4.5839806e-05,1.5818906
50,Channel 24,0.011041981,0.032977235,4.849832e-05,1.199977
51,Channel 2,0.010691975,0.032186367,4.4200635e-05,1.2423682
52,Channel 3,0.010632313,0.033306338,4.2583924e-05,1.492648
53,Channel 43,0.010552624,0.030766105,3.502978e-05,1.2393357
54,Channel 8,0.009981682,0.029636329,4.1577732e-05,1.0507983
55,Channel 1,0.009980287,0.029140132,5.8160418e-05,1.064289
56,Channel 21,0.009925336,0.029245399,5.2878222e-05,1.0715402
57,Channel 36,0.009886553,0.029414205,5.8642672e-05,1.2243156
58,Channel 27,0.008586877,0.026298912,2.6213811e-05,1.0526751
59,Channel 54,0.008324133,0.025488771,3.7237427e-05,0.99659026
60,Channel 12,0.007456595,0.022871068,4.1392912e-05,0.97580695
