Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,Channel 26,0.045304306,0.122343004,0.00020898037,3.3518474
2,Channel 48,0.04506472,0.11827307,0.00013195438,3.6188402
3,Channel 37,0.033629403,0.09047827,0.00017197858,2.3699594
4,Channel 35,0.032971084,0.08765662,0.00013957445,2.5681832
5,Channel 42,0.03167569,0.08328152,0.0001660804,2.7495093
6,Channel 25,0.031247022,0.08109995,0.00013949719,2.7751088
7,Channel 31,0.027863294,0.07884476,0.0001428929,1.9586176
8,Channel 4,0.027151678,0.07225443,9.527251e-05,2.0389893
9,Channel 45,0.025398925,0.071400374,0.00014003376,1.8656977
10,Channel 33,0.024996238,0.077527426,0.0001363799,1.5987341
11,Channel 15,0.024776295,0.06676948,0.00011568527,1.8480508
12,Channel 14,0.023554292,0.06181376,7.133468e-05,1.85744
13,Channel 16,0.02282598,0.06062311,0.00010045077,1.7141393
14,Channel 46,0.021076884,0.059368964,9.197932e-05,1.6171716
15,Channel 32,0.020996109,0.05840196,0.000100137346,1.4344461
16,Channel 6,0.020889247,0.05601083,9.850714e-05,1.9604211
17,Channel 10,0.01989093,0.052997295,8.070262e-05,1.3284754
18,Channel 39,0.01952773,0.054679703,9.352913e-05,1.6109402
19,Channel 38,0.019525306,0.057678506,9.7903365e-05,1.424111
20,Channel 55,0.018580655,0.051682074,0.00010371661,1.4164892
21,Channel 9,0.018410426,0.05671746,0.00011355219,1.8579524
22,Channel 56,0.017991958,0.055322085,8.447558e-05,1.7144667
23,Channel 5,0.017542789,0.047805145,9.323818e-05,1.498115
24,Channel 13,0.017326092,0.046285857,7.515325e-05,1.3366488
25,Channel 49,0.01667531,0.045816083,8.8214016e-05,1.3097845
26,Channel 50,0.016592503,0.04623544,5.0540137e-05,1.5063113
27,Channel 47,0.016439864,0.044235412,8.9389374e-05,1.9231905
28,Channel 28,0.015341478,0.042609468,9.4620686e-05,1.1665342
29,Channel 53,0.0151305245,0.041206308,8.365565e-05,1.5902483
30,Channel 41,0.014772603,0.041526288,6.453773e-05,1.1025237
31,Channel 34,0.014754593,0.0418678,7.213968e-05,1.0734781
32,Channel 22,0.014725238,0.040531818,8.318588e-05,1.2802304
33,Channel 23,0.014454672,0.039131477,8.1034006e-05,1.0283412
34,Channel 44,0.013769411,0.041444425,6.573068e-05,1.3954191
35,Channel 30,0.013745564,0.037492663,5.051607e-05,1.1014928
36,Channel 52,0.013734105,0.03982306,7.288011e-05,1.1208144
37,Channel 20,0.013613057,0.036747437,4.904077e-05,1.1568336
38,Channel 17,0.013520924,0.03495618,7.3261916e-05,1.0974647
39,Channel 60,0.0128646875,0.03438018,5.4125896e-05,0.9507693
40,Channel 57,0.012739404,0.03559274,4.0692095e-05,1.0063504
41,Channel 19,0.012670572,0.033753846,5.2881576e-05,0.9545532
42,Channel 40,0.012581069,0.03655574,5.1580188e-05,1.0930241
43,Channel 51,0.012578328,0.034442805,6.714829e-05,1.1200496
44,Channel 59,0.012425537,0.03475717,9.643519e-05,0.9515924
45,Channel 7,0.012388683,0.035018828,9.70201e-05,0.96072406
46,Channel 11,0.012220885,0.034174453,4.2353764e-05,0.9974113
47,Channel 18,0.012130519,0.03403874,3.8869046e-05,0.96372193
48,Channel 29,0.012062213,0.032358445,6.96267e-05,1.1739936
49,Channel 58,0.0119459275,0.03273404,4.5839806e-05,1.2837051
50,Channel 24,0.011107883,0.030510835,6.11094e-05,1.199977
51,Channel 2,0.010744548,0.028849693,4.4200635e-05,0.9347888
52,Channel 43,0.010606224,0.028285194,5.8907848e-05,0.790278
53,Channel 3,0.01059972,0.030582251,5.370477e-05,0.90619874
54,Channel 8,0.010033127,0.02736993,6.777948e-05,0.7353211
55,Channel 21,0.009992733,0.027183458,7.0058e-05,0.91530144
56,Channel 1,0.009936401,0.026901444,5.945705e-05,0.95964885
57,Channel 36,0.009860934,0.027158413,5.8642672e-05,1.0002583
58,Channel 27,0.008616407,0.023960931,2.6213811e-05,0.84564656
59,Channel 54,0.008354198,0.02359924,3.7237427e-05,0.7871057
60,Channel 12,0.0075090313,0.02101515,4.5244953e-05,0.64495987
