Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,FT8,0.09928112,0.30054072,0.00016172037,10.025033
2,P2,0.093133025,0.25903693,0.00013308303,8.569807
3,PZ,0.09021951,0.23355243,0.00013763772,7.449055
4,P8,0.079912305,0.21597101,0.00015030458,6.764012
5,C3,0.07891407,0.25744388,0.00018393733,8.611232
6,P3,0.07351683,0.25282064,0.00014577793,8.659751
7,PO7,0.07307841,0.18607639,0.00013777363,6.0769544
8,FT7,0.06318156,0.17573465,0.00014372478,5.8909483
9,T8,0.05899984,0.20304649,0.00013647079,6.9410667
10,OZ,0.054335736,0.12280693,0.000121231096,3.9527032
11,AF3,0.050541304,0.14172843,0.00011211175,4.6003656
12,P5,0.050516628,0.13427041,0.00013013413,4.377467
13,T10,0.049973514,0.11050455,0.00013047566,3.5310247
14,C5,0.049480293,0.13879861,0.00012283503,4.7552037
15,AF4,0.04908925,0.11124854,0.000132846,3.461001
16,F5,0.04831168,0.13491191,0.00011578269,4.424691
17,C6,0.047963705,0.14317854,0.00011216374,4.9427013
18,O2,0.04784721,0.11925998,0.00012427017,3.6940086
19,CP2,0.046597317,0.12377346,0.00014685775,4.101791
20,C2,0.042591155,0.13184622,0.000115890885,4.477501
21,AF7,0.04254751,0.11258701,0.00011048011,3.7318652
22,FC2,0.041894373,0.10757339,0.00011685468,3.4910488
23,AF8,0.04180038,0.102591336,0.00011656254,3.3617187
24,F2,0.040754434,0.10065666,0.00010213569,3.1978586
25,P7,0.040488116,0.10737569,0.0001246341,3.4039655
26,F10,0.040295534,0.10926547,0.0001274812,3.6995087
27,CP3,0.04011439,0.12043488,0.0001171438,3.8264132
28,O1,0.040046114,0.09174583,0.00010891643,2.8553739
29,F4,0.039518658,0.09554402,0.00012565118,3.1444585
30,C4,0.038808927,0.08800334,0.0001320184,2.7805386
31,FC6,0.038623445,0.08699324,0.000110753215,2.6270251
32,FP2,0.03825723,0.086278476,0.00012365193,2.7438028
33,P1,0.037536506,0.10292447,0.00011005336,3.2932603
34,F8,0.037497047,0.09494051,0.000121587786,3.328811
35,FC3,0.037432663,0.10068108,9.932303e-05,3.3115087
36,P4,0.037423685,0.09309831,0.00011011632,3.2320683
37,P6,0.037037008,0.097506225,0.00012058675,3.2872992
38,CP5,0.037025455,0.084507786,0.00011549054,2.8014703
39,C1,0.0362597,0.088457264,0.00011121326,2.8805208
40,F3,0.036186554,0.08333285,0.000117309595,2.6934142
41,FZ,0.03567734,0.09023666,0.00010001119,2.9264355
42,T9,0.035335958,0.096801326,0.0001140101,3.0367823
43,F7,0.034798495,0.07393684,0.0001002332,2.323545
44,PO4,0.03470657,0.08518937,0.00012155516,2.8801825
45,FC1,0.03441728,0.08982935,9.579373e-05,2.9792857
46,CP6,0.03430013,0.09049062,0.00010345788,2.8673444
47,CP1,0.034278236,0.08571704,0.00011481765,2.800437
48,CPZ,0.0332151,0.06652366,0.00011333705,2.0146806
49,F9,0.033209097,0.069851115,0.000106037114,2.2274408
50,AFZ,0.03308317,0.08126895,0.000109982786,2.5137715
51,FC5,0.032987583,0.07975529,0.00012174167,2.651466
52,POZ,0.03297058,0.07348702,0.000114197,2.4074168
53,PO8,0.03124829,0.07241239,0.00010747077,2.3407032
54,FC4,0.030752616,0.06908484,0.00010267667,2.3507
55,FP1,0.029997693,0.06362183,0.00010410603,2.1011777
56,F6,0.029686324,0.05739839,9.0587826e-05,1.680284
57,CP4,0.02853126,0.051693678,0.000105105915,1.5844582
58,PO3,0.027882515,0.066387996,0.00011202773,2.3752646
59,T7,0.027340312,0.059368927,0.00011578513,1.9602418
60,F1,0.026938394,0.04943532,0.0001109453,1.4599236
