Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,FT8,0.08844892,0.22620486,8.771826e-05,6.4335456
2,C3,0.08548126,0.1997306,8.8332126e-05,6.1937327
3,PZ,0.08421176,0.19498539,0.000118906195,5.169978
4,P2,0.08415005,0.20642349,0.000112080364,5.4517846
5,PO7,0.07924522,0.18448454,9.874797e-05,4.9133005
6,P8,0.061002392,0.13861728,0.0001083283,3.938621
7,FT7,0.05611991,0.13972268,7.714797e-05,4.193686
8,OZ,0.055764034,0.12296814,8.1155435e-05,3.6268914
9,P3,0.05377262,0.14004901,5.6212983e-05,4.2342134
10,T10,0.05210451,0.11586974,7.552331e-05,3.4350383
11,C5,0.04846595,0.11977322,5.9637212e-05,3.2412188
12,P5,0.04663832,0.10869584,7.805897e-05,2.9771264
13,AF3,0.040922202,0.09344512,6.989023e-05,2.871203
14,C2,0.038865864,0.08552816,6.9765156e-05,2.4542792
15,F5,0.038590994,0.0761178,0.00010110877,2.1475065
16,AF7,0.038367003,0.08630863,6.5738364e-05,2.1788266
17,T8,0.03681986,0.089842245,4.773448e-05,2.6042035
18,CP2,0.036752786,0.07726863,7.4323914e-05,2.2662942
19,F2,0.03572856,0.074359305,9.4265924e-05,2.1289544
20,CP5,0.035487358,0.073807105,7.114793e-05,2.0644982
21,AF4,0.03540788,0.06593155,8.50212e-05,1.5854334
22,AFZ,0.034791697,0.07690866,4.66167e-05,2.0093071
23,PO4,0.03446787,0.07342291,6.498973e-05,1.958989
24,AF8,0.0340675,0.068239674,8.4539526e-05,1.8007654
25,POZ,0.033972394,0.07307428,5.2964624e-05,1.9856001
26,T9,0.03308024,0.07282548,5.414095e-05,2.0207279
27,FC2,0.03278071,0.069928005,7.324551e-05,2.0426767
28,F10,0.032523524,0.06711477,5.7485955e-05,1.9121977
29,P6,0.032489195,0.06794386,6.323616e-05,1.8012193
30,F4,0.032305043,0.058078475,7.543164e-05,1.6373641
31,C4,0.032265257,0.06259208,4.8418817e-05,1.6695172
32,F7,0.03220612,0.06695684,6.234596e-05,1.949225
33,O2,0.031912886,0.068417825,5.8915568e-05,1.8537897
34,C1,0.03180209,0.068732016,8.152841e-05,1.7754858
35,P4,0.031783435,0.068613,4.75715e-05,1.8569552
36,P7,0.031467784,0.06598145,8.091733e-05,1.7425578
37,F3,0.031391677,0.06318539,6.2055355e-05,1.652872
38,FC3,0.031068474,0.07164892,5.4706336e-05,2.0373893
39,O1,0.030399803,0.06509533,6.1529696e-05,2.0102005
40,C6,0.030349026,0.06073094,6.146893e-05,1.6574472
41,FZ,0.03023776,0.06430204,6.500287e-05,1.7554656
42,FC4,0.029746877,0.05657339,7.307253e-05,1.3916405
43,FP2,0.02959693,0.057019778,6.839397e-05,1.5351946
44,P1,0.029301213,0.05540114,4.6937952e-05,1.3207756
45,FC6,0.029042728,0.053674124,5.6226847e-05,1.3168182
46,CP3,0.028381353,0.064847626,5.3351294e-05,1.8557528
47,F8,0.028144473,0.05828561,6.1390056e-05,1.7724969
48,FC1,0.027798712,0.05805424,6.485191e-05,1.6430686
49,F1,0.026826385,0.050001867,4.6244848e-05,1.4278406
50,CP6,0.026587838,0.05307597,6.0454066e-05,1.4333655
51,PO8,0.025585655,0.05073064,4.0905194e-05,1.371219
52,CPZ,0.025521418,0.05164709,5.0644256e-05,1.4577081
53,CP1,0.02535465,0.049791396,6.348513e-05,1.3969907
54,F9,0.024199264,0.041607432,4.4974215e-05,1.0667231
55,FP1,0.023829257,0.043308314,5.4844404e-05,1.0851396
56,CP4,0.023092428,0.04145076,5.0856037e-05,1.0424697
57,T7,0.02294518,0.04391887,5.3703636e-05,1.2564542
58,F6,0.022874871,0.039761726,5.273513e-05,0.99372953
59,FC5,0.021287734,0.03380395,5.036242e-05,0.8254591
60,PO3,0.021180162,0.038929224,5.8034835e-05,1.190401
