Rank,Channel,Mean_Importance,Std_Importance,Min_Importance,Max_Importance
1,FT8,0.087356344,0.22290514,0.000104815284,6.4335456
2,C3,0.08521869,0.19939545,8.8332126e-05,6.1937327
3,PZ,0.083757654,0.19532022,0.000118906195,5.169978
4,P2,0.083372705,0.20506555,0.000112080364,5.3124375
5,PO7,0.07880952,0.1832542,9.874797e-05,4.9133005
6,P8,0.06073519,0.13889453,0.0001083283,3.938621
7,FT7,0.0557396,0.13908517,9.318536e-05,4.193686
8,OZ,0.055725448,0.12316718,8.303158e-05,3.6268914
9,P3,0.053462777,0.13983752,7.9770136e-05,4.2342134
10,T10,0.05228768,0.117281795,0.00010093551,3.4350383
11,C5,0.047974598,0.11844898,7.391177e-05,3.2412188
12,P5,0.04652596,0.10920944,7.805897e-05,2.9771264
13,AF3,0.04074319,0.093209594,6.989023e-05,2.871203
14,C2,0.038909405,0.08558855,7.861964e-05,2.4542792
15,F5,0.03890603,0.077262126,0.00010110877,2.1475065
16,AF7,0.038182504,0.08629558,7.326633e-05,2.1531372
17,T8,0.036704864,0.08972856,7.2400435e-05,2.6042035
18,CP2,0.036642026,0.07708779,7.6334894e-05,2.2662942
19,F2,0.035804298,0.07467469,9.7353884e-05,2.1289544
20,AF4,0.035481364,0.06602528,8.50212e-05,1.5854334
21,CP5,0.03530395,0.07315948,7.567534e-05,2.0644982
22,AFZ,0.034714352,0.07703672,6.3480256e-05,2.0093071
23,PO4,0.03437209,0.07337373,7.532123e-05,1.958989
24,AF8,0.033863634,0.06811886,8.4539526e-05,1.8007654
25,POZ,0.03376851,0.072688036,8.706446e-05,1.946374
26,T9,0.03311071,0.07293834,8.517742e-05,2.0207279
27,FC2,0.032743584,0.070318855,8.962078e-05,2.0426767
28,F10,0.032692283,0.068069145,7.135978e-05,1.9121977
29,P6,0.03251126,0.06853257,7.0673676e-05,1.8012193
30,F4,0.032431994,0.058574554,9.174159e-05,1.6373641
31,C4,0.032202143,0.062596,7.568914e-05,1.6695172
32,F7,0.032196324,0.06729482,8.707129e-05,1.949225
33,O2,0.031783756,0.068409145,6.916239e-05,1.8537897
34,C1,0.031678125,0.06850387,8.152841e-05,1.7754858
35,F3,0.03153996,0.063815676,9.2238835e-05,1.652872
36,P4,0.03151384,0.067933775,4.75715e-05,1.72535
37,P7,0.031277414,0.06547162,8.091733e-05,1.7425578
38,FC3,0.030841103,0.07128782,6.517721e-05,2.0373893
39,C6,0.030539116,0.06156764,6.4827895e-05,1.6574472
40,O1,0.030369123,0.065047294,6.1529696e-05,2.0102005
41,FZ,0.030070826,0.064082175,6.881584e-05,1.7554656
42,FC4,0.029748559,0.056747913,8.419862e-05,1.3648137
43,FP2,0.029602006,0.057389237,6.839397e-05,1.5351946
44,P1,0.029414924,0.05592189,9.919869e-05,1.3207756
45,FC6,0.029104227,0.053967964,6.793335e-05,1.3168182
46,CP3,0.02827049,0.06497165,7.682369e-05,1.8557528
47,F8,0.028205376,0.05871125,7.1512186e-05,1.7724969
48,FC1,0.027757663,0.05809674,6.544341e-05,1.6430686
49,F1,0.026917158,0.0503215,6.532665e-05,1.4278406
50,CP6,0.02657491,0.053363133,6.483417e-05,1.4333655
51,PO8,0.025556408,0.05085258,5.2685893e-05,1.371219
52,CPZ,0.025500854,0.051798712,5.0644256e-05,1.4577081
53,CP1,0.025489641,0.050393824,6.348513e-05,1.3969907
54,F9,0.024266485,0.042011574,5.65278e-05,1.0667231
55,FP1,0.023845939,0.043423705,6.4495194e-05,1.0851396
56,CP4,0.02322779,0.041915976,5.5553177e-05,1.0424697
57,T7,0.022999743,0.04436123,5.655066e-05,1.2564542
58,F6,0.022881316,0.040021997,5.273513e-05,0.99372953
59,FC5,0.02140493,0.0342565,5.551571e-05,0.8254591
60,PO3,0.021196729,0.03902869,6.4357955e-05,1.190401
